epoch,split,loss_total,loss_pred_wr,loss_pred_rmse,loss_noarb_bfly,loss_noarb_cal,loss_param_l2,lr,grad_norm,batches,wall_time_s,hit_a_lo,hit_a_hi,hit_b_lo,hit_b_hi,hit_rho_lo,hit_rho_hi,hit_m_lo,hit_m_hi,hit_sigma_lo,hit_sigma_hi
1,train,61.301750728062224,45.045950753348215,45.1079112461635,0.48049209799085346,15.290502956935338,0.00431289616972208,6.857142857142856e-06,nan,7,18.486541199992644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,val,48.881784439086914,47.696006774902344,47.76808166503906,0.5897132158279419,0.0,0.00635303882881999,6.857142857142856e-06,,2,2.253419999993639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,train,38.53509330749512,31.392235619681223,31.461184092930385,0.3940021736281259,6.352126087461199,0.002726800024642476,1.2857142857142856e-05,0.003906,7,16.523946200002683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,val,13.242435932159424,12.861074924468994,12.946788787841797,0.19037401676177979,0.0,0.0006134662544354796,1.2857142857142856e-05,,2,2.0042935000092257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,train,9.522781576429095,8.577710492270333,8.604320321764265,0.06418865912460855,0.8107870324913945,0.005906681530177593,1.8857142857142856e-05,0.003906,7,16.69331400000374,0.0,0.0,0.0,0.0,0.0,0.0,0.08067602132047925,0.0,0.0,0.0
3,val,3.6869744062423706,3.6756956577301025,3.667818069458008,0.0006320879911072552,0.0,0.010014557279646397,1.8857142857142856e-05,,2,2.1200958999979775,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,train,2.188457557133266,2.1210510304995944,2.119446541581835,0.0007194864738266915,0.055989706655964255,0.009977854389165128,2.4857142857142852e-05,0.003906,7,16.411024000000907,0.0,0.0,0.8125,0.0,0.0,0.0,0.022321428571428572,0.0,0.0,0.0
4,val,0.24511349946260452,0.23479384183883667,0.23843973875045776,0.00012626156240003183,0.0,0.010067121125757694,2.4857142857142852e-05,,2,2.0525106999994023,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,train,0.2628719210624695,0.2498070044176919,0.25210773731981007,0.00010828983951276834,0.002793536737694272,0.010054801856832845,3.0857142857142856e-05,0.003906,7,16.265571800002363,0.8638392857142857,0.0,0.9977678571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,val,0.2807653099298477,0.2707367390394211,0.280370369553566,1.038004802467185e-05,0.0,0.010007794946432114,3.0857142857142856e-05,,2,2.486282300000312,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
