Date,pred,asset,model
2007-02-08,0.010144559256953836,DBC,HAR-RV
2007-02-09,0.010347496339913373,DBC,HAR-RV
2007-02-12,0.009902708281496513,DBC,HAR-RV
2007-02-13,0.010617757189106038,DBC,HAR-RV
2007-02-14,0.010221786484773062,DBC,HAR-RV
2007-02-15,0.010462508070721898,DBC,HAR-RV
2007-02-16,0.01032131151080206,DBC,HAR-RV
2007-02-20,0.010744847298803553,DBC,HAR-RV
2007-02-21,0.010277504195769801,DBC,HAR-RV
2007-02-22,0.010853571205257373,DBC,HAR-RV
2007-02-23,0.010584472602940587,DBC,HAR-RV
2007-02-26,0.011015564682020251,DBC,HAR-RV
2007-02-27,0.010591720700215152,DBC,HAR-RV
2007-02-28,0.011009450267501959,DBC,HAR-RV
2007-03-01,0.010736556399452197,DBC,HAR-RV
2007-03-02,0.010920008221322382,DBC,HAR-RV
2007-03-05,0.011007776959146325,DBC,HAR-RV
2007-03-06,0.010683865466939182,DBC,HAR-RV
2007-03-07,0.010351559083498083,DBC,HAR-RV
2007-03-08,0.010868563655012313,DBC,HAR-RV
2007-03-09,0.010693921863059794,DBC,HAR-RV
2007-03-12,0.011122422154989481,DBC,HAR-RV
2007-03-13,0.010872190184577652,DBC,HAR-RV
2007-03-14,0.010990464611246545,DBC,HAR-RV
2007-03-15,0.010738434463281377,DBC,HAR-RV
2007-03-16,0.010906695838369,DBC,HAR-RV
2007-03-19,0.010505849245276384,DBC,HAR-RV
2007-03-20,0.010388677051360054,DBC,HAR-RV
2007-03-21,0.010071823373587257,DBC,HAR-RV
2007-03-22,0.009880113882472693,DBC,HAR-RV
2007-03-23,0.009904012599093539,DBC,HAR-RV
2007-03-26,0.009306113299300174,DBC,HAR-RV
2007-03-27,0.009552434455522455,DBC,HAR-RV
2007-03-28,0.009166938379717842,DBC,HAR-RV
2007-03-29,0.009209301967504581,DBC,HAR-RV
2007-03-30,0.009232300837767111,DBC,HAR-RV
2007-04-02,0.009040329078793258,DBC,HAR-RV
2007-04-03,0.009269244316579628,DBC,HAR-RV
2007-04-04,0.009315806170674016,DBC,HAR-RV
2007-04-05,0.009446815640019791,DBC,HAR-RV
2007-04-09,0.008986853022295703,DBC,HAR-RV
2007-04-10,0.009247209971392504,DBC,HAR-RV
2007-04-11,0.00902552946641222,DBC,HAR-RV
2007-04-12,0.008916945296518122,DBC,HAR-RV
2007-04-13,0.009132323458687905,DBC,HAR-RV
2007-04-16,0.008891493683487985,DBC,HAR-RV
2007-04-17,0.008843862525138071,DBC,HAR-RV
2007-04-18,0.008888237814537186,DBC,HAR-RV
2007-04-19,0.00870543188120358,DBC,HAR-RV
2007-04-20,0.008776555295935191,DBC,HAR-RV
2007-04-23,0.008708917688428557,DBC,HAR-RV
2007-04-24,0.008748918243195732,DBC,HAR-RV
2007-04-25,0.008962590000487866,DBC,HAR-RV
2007-04-26,0.008934676368794275,DBC,HAR-RV
2007-04-27,0.00913666824282794,DBC,HAR-RV
2007-04-30,0.009536667604296577,DBC,HAR-RV
2007-05-01,0.009542118255420468,DBC,HAR-RV
2007-05-02,0.00934668151675003,DBC,HAR-RV
2007-05-03,0.009198541107645368,DBC,HAR-RV
2007-05-04,0.008866564184257618,DBC,HAR-RV
2007-05-07,0.008741319649491725,DBC,HAR-RV
2007-05-08,0.008674798610427246,DBC,HAR-RV
2007-05-09,0.008444581865119228,DBC,HAR-RV
2007-05-10,0.008473626220722359,DBC,HAR-RV
2007-05-11,0.00831719089765409,DBC,HAR-RV
2007-05-14,0.00828878506086923,DBC,HAR-RV
2007-05-15,0.00826183229381298,DBC,HAR-RV
2007-05-16,0.00850162782904127,DBC,HAR-RV
2007-05-17,0.008544499530929566,DBC,HAR-RV
2007-05-18,0.0086582240910601,DBC,HAR-RV
2007-05-21,0.008612573757486955,DBC,HAR-RV
2007-05-22,0.008486842848299446,DBC,HAR-RV
2007-05-23,0.008701896104811074,DBC,HAR-RV
2007-05-24,0.008740770634622749,DBC,HAR-RV
2007-05-25,0.008641289952539544,DBC,HAR-RV
2007-05-29,0.008507292586448261,DBC,HAR-RV
2007-05-30,0.008721022318945778,DBC,HAR-RV
2007-05-31,0.009071583186573636,DBC,HAR-RV
2007-06-01,0.009147379146003387,DBC,HAR-RV
2007-06-04,0.009180746997322117,DBC,HAR-RV
2007-06-05,0.00915033509453589,DBC,HAR-RV
2007-06-06,0.009066994319285659,DBC,HAR-RV
2007-06-07,0.008649750383332065,DBC,HAR-RV
2007-06-08,0.008369276906342989,DBC,HAR-RV
2007-06-11,0.008551439785821534,DBC,HAR-RV
2007-06-12,0.009416457528089592,DBC,HAR-RV
2007-06-13,0.009584316141816845,DBC,HAR-RV
2007-06-14,0.009029600375364903,DBC,HAR-RV
2007-06-15,0.009426568004233091,DBC,HAR-RV
2007-06-18,0.00932887029379381,DBC,HAR-RV
2007-06-19,0.009028775247248834,DBC,HAR-RV
2007-06-20,0.00861650016608186,DBC,HAR-RV
2007-06-21,0.009029164806549271,DBC,HAR-RV
2007-06-22,0.008571394553331647,DBC,HAR-RV
2007-06-25,0.008526441735052338,DBC,HAR-RV
2007-06-26,0.008129360710281471,DBC,HAR-RV
2007-06-27,0.008306753032682638,DBC,HAR-RV
2007-06-28,0.008472579465062552,DBC,HAR-RV
2007-06-29,0.007931053388870676,DBC,HAR-RV
2007-07-02,0.007604315416284486,DBC,HAR-RV
2007-07-03,0.007333827714874345,DBC,HAR-RV
2007-07-05,0.00747009912674725,DBC,HAR-RV
2007-07-06,0.006970335492685266,DBC,HAR-RV
2007-07-09,0.007595107167536945,DBC,HAR-RV
2007-07-10,0.007593810692612039,DBC,HAR-RV
2007-07-11,0.007304773545292879,DBC,HAR-RV
2007-07-12,0.007569619780167777,DBC,HAR-RV
2007-07-13,0.006957736641665048,DBC,HAR-RV
2007-07-16,0.006443127166248664,DBC,HAR-RV
2007-07-17,0.006504078870361661,DBC,HAR-RV
2007-07-18,0.007779110258531948,DBC,HAR-RV
2007-07-19,0.0071576564560585825,DBC,HAR-RV
2007-07-20,0.007538060377955765,DBC,HAR-RV
2007-07-23,0.007014560034154581,DBC,HAR-RV
2007-07-24,0.006572326963593934,DBC,HAR-RV
2007-07-25,0.0067865946927362225,DBC,HAR-RV
2007-07-26,0.007078606162818043,DBC,HAR-RV
2007-07-27,0.0072642014927677715,DBC,HAR-RV
2007-07-30,0.0077020798590743955,DBC,HAR-RV
2007-07-31,0.0077320627098785965,DBC,HAR-RV
2007-08-01,0.008182534635058383,DBC,HAR-RV
2007-08-02,0.007800485819129,DBC,HAR-RV
2007-08-03,0.007051927185120465,DBC,HAR-RV
2007-08-06,0.007059922856973417,DBC,HAR-RV
2007-08-07,0.008304656771241356,DBC,HAR-RV
2007-08-08,0.008645912884321982,DBC,HAR-RV
2007-08-09,0.007745944984656831,DBC,HAR-RV
2007-08-10,0.0073523003919359585,DBC,HAR-RV
2007-08-13,0.007840813906261021,DBC,HAR-RV
2007-08-14,0.007430084304370789,DBC,HAR-RV
2007-08-15,0.00769003036759134,DBC,HAR-RV
2007-08-16,0.007388605762925115,DBC,HAR-RV
2007-08-17,0.007718242567235941,DBC,HAR-RV
2007-08-20,0.008651332727590609,DBC,HAR-RV
2007-08-21,0.007203603488213404,DBC,HAR-RV
2007-08-22,0.0072112492544590834,DBC,HAR-RV
2007-08-23,0.00700116409751436,DBC,HAR-RV
2007-08-24,0.006911400244246097,DBC,HAR-RV
2007-08-27,0.0067699555023,DBC,HAR-RV
2007-08-28,0.0074962793006934664,DBC,HAR-RV
2007-08-29,0.006568138330050315,DBC,HAR-RV
2007-08-30,0.007433187723331595,DBC,HAR-RV
2007-08-31,0.00739041790138383,DBC,HAR-RV
2007-09-04,0.006591102877069592,DBC,HAR-RV
2007-09-05,0.006322500286358504,DBC,HAR-RV
2007-09-06,0.007383359693139857,DBC,HAR-RV
2007-09-07,0.006393830033489263,DBC,HAR-RV
2007-09-10,0.006240107604369863,DBC,HAR-RV
2007-09-11,0.006475850723262969,DBC,HAR-RV
2007-09-12,0.006592631154614084,DBC,HAR-RV
2007-09-13,0.006215023282473458,DBC,HAR-RV
2007-09-14,0.006820016927928132,DBC,HAR-RV
2007-09-17,0.006625523684759448,DBC,HAR-RV
2007-09-18,0.006325646500251818,DBC,HAR-RV
2007-09-19,0.006835995272143599,DBC,HAR-RV
2007-09-20,0.006319479006531341,DBC,HAR-RV
2007-09-21,0.00677733152332349,DBC,HAR-RV
2007-09-24,0.007369431318202082,DBC,HAR-RV
2007-09-25,0.007143082633707584,DBC,HAR-RV
2007-09-26,0.006857923170730581,DBC,HAR-RV
2007-09-27,0.0071195567521914116,DBC,HAR-RV
2007-09-28,0.006828895032094551,DBC,HAR-RV
2007-10-01,0.007925717858998415,DBC,HAR-RV
2007-10-02,0.0073746394785644265,DBC,HAR-RV
2007-10-03,0.007754052796637444,DBC,HAR-RV
2007-10-04,0.008317562051703916,DBC,HAR-RV
2007-10-05,0.00831997513955111,DBC,HAR-RV
2007-10-08,0.008150193350491969,DBC,HAR-RV
2007-10-09,0.008367909083449757,DBC,HAR-RV
2007-10-10,0.008733197583583475,DBC,HAR-RV
2007-10-11,0.008666821621237403,DBC,HAR-RV
2007-10-12,0.008945647108333185,DBC,HAR-RV
2007-10-15,0.008980503636419541,DBC,HAR-RV
2007-10-16,0.009189009238305944,DBC,HAR-RV
2007-10-17,0.008792140143845866,DBC,HAR-RV
2007-10-18,0.009198579839724379,DBC,HAR-RV
2007-10-19,0.008703060961744762,DBC,HAR-RV
2007-10-22,0.008584150131520677,DBC,HAR-RV
2007-10-23,0.009060589648254552,DBC,HAR-RV
2007-10-24,0.008389942815327255,DBC,HAR-RV
2007-10-25,0.008372127106087052,DBC,HAR-RV
2007-10-26,0.008608640721741098,DBC,HAR-RV
2007-10-29,0.008656061363454936,DBC,HAR-RV
2007-10-30,0.009483465096681912,DBC,HAR-RV
2007-10-31,0.00967950976554367,DBC,HAR-RV
2007-11-01,0.01105019548495129,DBC,HAR-RV
2007-11-02,0.012320661086324684,DBC,HAR-RV
2007-11-05,0.012319607931269648,DBC,HAR-RV
2007-11-06,0.01251186159593622,DBC,HAR-RV
2007-11-07,0.012975602463830805,DBC,HAR-RV
2007-11-08,0.012649969539805602,DBC,HAR-RV
2007-11-09,0.011684370336627864,DBC,HAR-RV
2007-11-12,0.010941789501449991,DBC,HAR-RV
