Date,pred,asset,model
2007-01-05,0.008391187973322589,EEM,HAR-RV
2007-01-08,0.008614538690351734,EEM,HAR-RV
2007-01-09,0.00866749709553457,EEM,HAR-RV
2007-01-10,0.010829953526288114,EEM,HAR-RV
2007-01-11,0.010837788679785682,EEM,HAR-RV
2007-01-12,0.012501687706613793,EEM,HAR-RV
2007-01-16,0.011636259745262965,EEM,HAR-RV
2007-01-17,0.010376027285854735,EEM,HAR-RV
2007-01-18,0.011949528559884019,EEM,HAR-RV
2007-01-19,0.010364539469076922,EEM,HAR-RV
2007-01-22,0.010498727976813286,EEM,HAR-RV
2007-01-23,0.010101634032000118,EEM,HAR-RV
2007-01-24,0.010579077072814682,EEM,HAR-RV
2007-01-25,0.00992218930301621,EEM,HAR-RV
2007-01-26,0.012047527855793567,EEM,HAR-RV
2007-01-29,0.011122720839850043,EEM,HAR-RV
2007-01-30,0.013563676066587921,EEM,HAR-RV
2007-01-31,0.0138347929973886,EEM,HAR-RV
2007-02-01,0.013093058339006966,EEM,HAR-RV
2007-02-02,0.0138990018176998,EEM,HAR-RV
2007-02-05,0.01192829263189157,EEM,HAR-RV
2007-02-06,0.012801659905129202,EEM,HAR-RV
2007-02-07,0.01187991813770829,EEM,HAR-RV
2007-02-08,0.010182438110617142,EEM,HAR-RV
2007-02-09,0.010014321091698131,EEM,HAR-RV
2007-02-12,0.009243623721969418,EEM,HAR-RV
2007-02-13,0.008944449928206217,EEM,HAR-RV
2007-02-14,0.010117215643370741,EEM,HAR-RV
2007-02-15,0.009760673430174675,EEM,HAR-RV
2007-02-16,0.010411701401061834,EEM,HAR-RV
2007-02-20,0.012297726814694774,EEM,HAR-RV
2007-02-21,0.011216672547360109,EEM,HAR-RV
2007-02-22,0.010625741795735392,EEM,HAR-RV
2007-02-23,0.009258178931899225,EEM,HAR-RV
2007-02-26,0.007946881361914026,EEM,HAR-RV
2007-02-27,0.00754782333039828,EEM,HAR-RV
2007-02-28,0.00896916513726841,EEM,HAR-RV
2007-03-01,0.009346902435943674,EEM,HAR-RV
2007-03-02,0.014673584146819003,EEM,HAR-RV
2007-03-05,0.015572108879097844,EEM,HAR-RV
2007-03-06,0.016478986504451454,EEM,HAR-RV
2007-03-07,0.019442287261926594,EEM,HAR-RV
2007-03-08,0.015239763601511047,EEM,HAR-RV
2007-03-09,0.016759700242265002,EEM,HAR-RV
2007-03-12,0.016335478591692595,EEM,HAR-RV
2007-03-13,0.017203589040295838,EEM,HAR-RV
2007-03-14,0.015680637387301848,EEM,HAR-RV
2007-03-15,0.013232098636560552,EEM,HAR-RV
2007-03-16,0.014987836565473072,EEM,HAR-RV
2007-03-19,0.013691025351970712,EEM,HAR-RV
2007-03-20,0.01397096823162845,EEM,HAR-RV
2007-03-21,0.014160008780312861,EEM,HAR-RV
2007-03-22,0.013951884296636071,EEM,HAR-RV
2007-03-23,0.013915665812350523,EEM,HAR-RV
2007-03-26,0.01589050726849329,EEM,HAR-RV
2007-03-27,0.015397137430887373,EEM,HAR-RV
2007-03-28,0.013816583350405108,EEM,HAR-RV
2007-03-29,0.013359083565954367,EEM,HAR-RV
2007-03-30,0.011858246490395827,EEM,HAR-RV
2007-04-02,0.0115640551646793,EEM,HAR-RV
2007-04-03,0.01241916379053339,EEM,HAR-RV
2007-04-04,0.012293355676702516,EEM,HAR-RV
2007-04-05,0.012562511711431492,EEM,HAR-RV
2007-04-09,0.01201169162093498,EEM,HAR-RV
2007-04-10,0.010174173404999248,EEM,HAR-RV
2007-04-11,0.010256889108785895,EEM,HAR-RV
2007-04-12,0.00981862306481208,EEM,HAR-RV
2007-04-13,0.008942089252921179,EEM,HAR-RV
2007-04-16,0.009192081944161818,EEM,HAR-RV
2007-04-17,0.010187117000591564,EEM,HAR-RV
2007-04-18,0.010094976271825217,EEM,HAR-RV
2007-04-19,0.010577854423481203,EEM,HAR-RV
2007-04-20,0.010208035968650775,EEM,HAR-RV
2007-04-23,0.009235950182095306,EEM,HAR-RV
2007-04-24,0.00938086307000281,EEM,HAR-RV
2007-04-25,0.00892350913653749,EEM,HAR-RV
2007-04-26,0.008867624878465607,EEM,HAR-RV
2007-04-27,0.008259855694457493,EEM,HAR-RV
2007-04-30,0.008590295381986707,EEM,HAR-RV
2007-05-01,0.00814131985599324,EEM,HAR-RV
2007-05-02,0.008341567072205455,EEM,HAR-RV
2007-05-03,0.0090896852905777,EEM,HAR-RV
2007-05-04,0.009129088779779226,EEM,HAR-RV
2007-05-07,0.009938974468090526,EEM,HAR-RV
2007-05-08,0.009575510840484837,EEM,HAR-RV
2007-05-09,0.008690415073963882,EEM,HAR-RV
2007-05-10,0.009316786954263832,EEM,HAR-RV
2007-05-11,0.009362363134379758,EEM,HAR-RV
