Date,pred,var_pred,asset,model
2007-01-05,0.0,3.16959417468257e-05,EFA,GARCH11-t
2007-01-08,0.0,4.990629660993211e-05,EFA,GARCH11-t
2007-01-09,0.0,4.5679199619473194e-05,EFA,GARCH11-t
2007-01-10,0.0,4.304098572566301e-05,EFA,GARCH11-t
2007-01-11,0.0,4.472667254014378e-05,EFA,GARCH11-t
2007-01-12,0.0,4.4858299085036166e-05,EFA,GARCH11-t
2007-01-16,0.0,5.258932774337937e-05,EFA,GARCH11-t
2007-01-17,0.0,4.8778837207190726e-05,EFA,GARCH11-t
2007-01-18,0.0,4.524388038110095e-05,EFA,GARCH11-t
2007-01-19,0.0,4.311496990806116e-05,EFA,GARCH11-t
2007-01-22,0.0,5.242456360451642e-05,EFA,GARCH11-t
2007-01-23,0.0,5.339962626508814e-05,EFA,GARCH11-t
2007-01-24,0.0,5.3960702297922215e-05,EFA,GARCH11-t
2007-01-25,0.0,5.345250119225178e-05,EFA,GARCH11-t
2007-01-26,0.0,7.589180167518081e-05,EFA,GARCH11-t
2007-01-29,0.0,6.331220370683628e-05,EFA,GARCH11-t
2007-01-30,0.0,6.043565026557025e-05,EFA,GARCH11-t
2007-01-31,0.0,6.016730601223514e-05,EFA,GARCH11-t
2007-02-01,0.0,5.8326998905493346e-05,EFA,GARCH11-t
2007-02-02,0.0,5.7473711573653946e-05,EFA,GARCH11-t
2007-02-05,0.0,5.710732496549041e-05,EFA,GARCH11-t
2007-02-06,0.0,5.51418901148888e-05,EFA,GARCH11-t
2007-02-07,0.0,5.5990909827234214e-05,EFA,GARCH11-t
2007-02-08,0.0,5.411146662657123e-05,EFA,GARCH11-t
2007-02-09,0.0,5.2720069322399644e-05,EFA,GARCH11-t
2007-02-12,0.0,4.704109142559528e-05,EFA,GARCH11-t
2007-02-13,0.0,4.487135522686351e-05,EFA,GARCH11-t
2007-02-14,0.0,5.674339940075202e-05,EFA,GARCH11-t
2007-02-15,0.0,6.362690649179904e-05,EFA,GARCH11-t
2007-02-16,0.0,6.0044957924820897e-05,EFA,GARCH11-t
2007-02-20,0.0,5.808698544942176e-05,EFA,GARCH11-t
2007-02-21,0.0,5.372071781267283e-05,EFA,GARCH11-t
2007-02-22,0.0,5.101501835925232e-05,EFA,GARCH11-t
2007-02-23,0.0,5.356966467692311e-05,EFA,GARCH11-t
2007-02-26,0.0,4.7387079664611156e-05,EFA,GARCH11-t
2007-02-27,0.0,4.29824305646479e-05,EFA,GARCH11-t
2007-02-28,0.0,0.00013446707397599236,EFA,GARCH11-t
2007-03-01,0.0,0.00012934643458389474,EFA,GARCH11-t
2007-03-02,0.0,0.00012739900480953216,EFA,GARCH11-t
2007-03-05,0.0,0.0001295728317407566,EFA,GARCH11-t
2007-03-06,0.0,0.00014469561021537104,EFA,GARCH11-t
2007-03-07,0.0,0.0002638955525149804,EFA,GARCH11-t
2007-03-08,0.0,0.00023326946837717028,EFA,GARCH11-t
2007-03-09,0.0,0.00021078777703766133,EFA,GARCH11-t
2007-03-12,0.0,0.00015983109981221845,EFA,GARCH11-t
2007-03-13,0.0,0.0001526619476987308,EFA,GARCH11-t
2007-03-14,0.0,0.0001734472291452969,EFA,GARCH11-t
2007-03-15,0.0,0.00016315763643681526,EFA,GARCH11-t
2007-03-16,0.0,0.00015457071177205734,EFA,GARCH11-t
2007-03-19,0.0,0.00014572111469710215,EFA,GARCH11-t
2007-03-20,0.0,0.000149399465738381,EFA,GARCH11-t
2007-03-21,0.0,0.00014447749950368164,EFA,GARCH11-t
2007-03-22,0.0,0.0001840632472723201,EFA,GARCH11-t
2007-03-23,0.0,0.00015050765788921864,EFA,GARCH11-t
2007-03-26,0.0,0.00015294433140177854,EFA,GARCH11-t
2007-03-27,0.0,0.00014519829748822243,EFA,GARCH11-t
2007-03-28,0.0,0.00012745959146692515,EFA,GARCH11-t
2007-03-29,0.0,0.0001244580125280527,EFA,GARCH11-t
2007-03-30,0.0,0.00012145174630308917,EFA,GARCH11-t
2007-04-02,0.0,0.00011482154022934927,EFA,GARCH11-t
2007-04-03,0.0,9.674656674950866e-05,EFA,GARCH11-t
2007-04-04,0.0,0.00010668149422997669,EFA,GARCH11-t
2007-04-05,0.0,0.00010187203969487333,EFA,GARCH11-t
2007-04-09,0.0,9.724437683227057e-05,EFA,GARCH11-t
2007-04-10,0.0,7.462490557464145e-05,EFA,GARCH11-t
2007-04-11,0.0,9.062670537512734e-05,EFA,GARCH11-t
2007-04-12,0.0,8.725217715986085e-05,EFA,GARCH11-t
2007-04-13,0.0,8.530465249214778e-05,EFA,GARCH11-t
2007-04-16,0.0,8.174527731850828e-05,EFA,GARCH11-t
2007-04-17,0.0,7.333396547726543e-05,EFA,GARCH11-t
2007-04-18,0.0,7.958127438693351e-05,EFA,GARCH11-t
2007-04-19,0.0,7.589997733682017e-05,EFA,GARCH11-t
2007-04-20,0.0,6.169826621088987e-05,EFA,GARCH11-t
2007-04-23,0.0,6.78320014604104e-05,EFA,GARCH11-t
2007-04-24,0.0,7.758765744481154e-05,EFA,GARCH11-t
2007-04-25,0.0,6.557147810252114e-05,EFA,GARCH11-t
2007-04-26,0.0,7.512877497164174e-05,EFA,GARCH11-t
2007-04-27,0.0,7.285726087374732e-05,EFA,GARCH11-t
2007-04-30,0.0,6.983764973659503e-05,EFA,GARCH11-t
2007-05-01,0.0,5.622544464783099e-05,EFA,GARCH11-t
2007-05-02,0.0,6.473178299563851e-05,EFA,GARCH11-t
2007-05-03,0.0,5.0386192088694216e-05,EFA,GARCH11-t
2007-05-04,0.0,6.218901719683994e-05,EFA,GARCH11-t
2007-05-07,0.0,5.585489120408172e-05,EFA,GARCH11-t
2007-05-08,0.0,5.042592092445039e-05,EFA,GARCH11-t
2007-05-09,0.0,6.233534863031883e-05,EFA,GARCH11-t
2007-05-10,0.0,5.0450209805080434e-05,EFA,GARCH11-t
2007-05-11,0.0,7.927950838619272e-05,EFA,GARCH11-t
2007-05-14,0.0,8.76083772512203e-05,EFA,GARCH11-t
