Date,pred,asset,model
2007-01-05,0.00135900945089029,GLD,"ARIMA(1,0,1)"
2007-01-08,0.0023002363847615314,GLD,"ARIMA(1,0,1)"
2007-01-09,0.00023263209610823197,GLD,"ARIMA(1,0,1)"
2007-01-10,7.662955491696827e-05,GLD,"ARIMA(1,0,1)"
2007-01-11,0.0007096200834983844,GLD,"ARIMA(1,0,1)"
2007-01-12,0.0004671938776908811,GLD,"ARIMA(1,0,1)"
2007-01-16,-0.0011808779332741237,GLD,"ARIMA(1,0,1)"
2007-01-17,0.0008630943077930967,GLD,"ARIMA(1,0,1)"
2007-01-18,-0.0001493363876499838,GLD,"ARIMA(1,0,1)"
2007-01-19,0.0007606678790882405,GLD,"ARIMA(1,0,1)"
2007-01-22,-3.125504828101124e-05,GLD,"ARIMA(1,0,1)"
2007-01-23,0.0006787759031261855,GLD,"ARIMA(1,0,1)"
2007-01-24,-0.0008409188639191136,GLD,"ARIMA(1,0,1)"
2007-01-25,0.0002622316441477792,GLD,"ARIMA(1,0,1)"
2007-01-26,0.0008033482544528283,GLD,"ARIMA(1,0,1)"
2007-01-29,0.0004879432699307352,GLD,"ARIMA(1,0,1)"
2007-01-30,0.0009316899650397598,GLD,"ARIMA(1,0,1)"
2007-01-31,0.00023114574518243874,GLD,"ARIMA(1,0,1)"
2007-02-01,-6.914780910618893e-05,GLD,"ARIMA(1,0,1)"
2007-02-02,0.0001252041731943347,GLD,"ARIMA(1,0,1)"
2007-02-05,0.0013366190520567654,GLD,"ARIMA(1,0,1)"
2007-02-06,0.0006693542279611871,GLD,"ARIMA(1,0,1)"
2007-02-07,0.00016232644184233585,GLD,"ARIMA(1,0,1)"
2007-02-08,0.0007541687023903384,GLD,"ARIMA(1,0,1)"
2007-02-09,0.00010445407524051838,GLD,"ARIMA(1,0,1)"
2007-02-12,9.18617863697093e-05,GLD,"ARIMA(1,0,1)"
2007-02-13,0.0009709952278548898,GLD,"ARIMA(1,0,1)"
2007-02-14,0.0006927227220321205,GLD,"ARIMA(1,0,1)"
2007-02-15,0.00048580519899974525,GLD,"ARIMA(1,0,1)"
2007-02-16,0.0007274071783443522,GLD,"ARIMA(1,0,1)"
2007-02-20,0.0008756089780162901,GLD,"ARIMA(1,0,1)"
2007-02-21,0.0011875755149641587,GLD,"ARIMA(1,0,1)"
2007-02-22,-0.0005080890779740759,GLD,"ARIMA(1,0,1)"
2007-02-23,0.0007543937805797647,GLD,"ARIMA(1,0,1)"
