Date,pred,asset,model
2008-04-11,3.613697018748938e-06,HYG,"ARIMA(1,0,1)"
2008-04-14,-3.099199297767076e-05,HYG,"ARIMA(1,0,1)"
2008-04-15,-9.81415296948257e-06,HYG,"ARIMA(1,0,1)"
2008-04-16,-8.699995406862626e-06,HYG,"ARIMA(1,0,1)"
2008-04-17,-2.4534033972296645e-05,HYG,"ARIMA(1,0,1)"
2008-04-18,3.4024370620548863e-05,HYG,"ARIMA(1,0,1)"
2008-04-21,2.6406619565204924e-05,HYG,"ARIMA(1,0,1)"
2008-04-22,0.00013806791277071043,HYG,"ARIMA(1,0,1)"
2008-04-23,-9.275257152644121e-05,HYG,"ARIMA(1,0,1)"
2008-04-24,0.00011371510788107937,HYG,"ARIMA(1,0,1)"
2008-04-25,-8.596210536683276e-05,HYG,"ARIMA(1,0,1)"
2008-04-28,2.0928591894786676e-05,HYG,"ARIMA(1,0,1)"
2008-04-29,4.421886069401068e-05,HYG,"ARIMA(1,0,1)"
2008-04-30,3.2254499344720385e-05,HYG,"ARIMA(1,0,1)"
2008-05-01,3.5762352981268835e-05,HYG,"ARIMA(1,0,1)"
2008-05-02,0.00012079051430401955,HYG,"ARIMA(1,0,1)"
2008-05-05,0.0006611902876577857,HYG,"ARIMA(1,0,1)"
2008-05-06,-0.00025064665355525395,HYG,"ARIMA(1,0,1)"
2008-05-07,0.00029094549592948777,HYG,"ARIMA(1,0,1)"
2008-05-08,-0.00011335897416891235,HYG,"ARIMA(1,0,1)"
2008-05-09,0.00017664893392026792,HYG,"ARIMA(1,0,1)"
2008-05-12,-7.243548331258302e-05,HYG,"ARIMA(1,0,1)"
2008-05-13,0.0001125266820877059,HYG,"ARIMA(1,0,1)"
2008-05-14,-6.5415675830618326e-06,HYG,"ARIMA(1,0,1)"
2008-05-15,7.5659672012056e-05,HYG,"ARIMA(1,0,1)"
2008-05-16,-5.7519577323047844e-05,HYG,"ARIMA(1,0,1)"
2008-05-19,4.124788968493486e-05,HYG,"ARIMA(1,0,1)"
2008-05-20,-4.3570602923045065e-05,HYG,"ARIMA(1,0,1)"
2008-05-21,0.00012335043328564726,HYG,"ARIMA(1,0,1)"
2008-05-22,2.9090245356528488e-05,HYG,"ARIMA(1,0,1)"
2008-05-23,5.732269894406126e-05,HYG,"ARIMA(1,0,1)"
2008-05-27,9.70341780038421e-05,HYG,"ARIMA(1,0,1)"
2008-05-28,1.585672308923793e-05,HYG,"ARIMA(1,0,1)"
2008-05-29,-0.00010900302295202235,HYG,"ARIMA(1,0,1)"
2008-05-30,8.159615615914766e-05,HYG,"ARIMA(1,0,1)"
2008-06-02,-4.9686026798035455e-05,HYG,"ARIMA(1,0,1)"
2008-06-03,0.0001444052071352927,HYG,"ARIMA(1,0,1)"
2008-06-04,-0.0001362038751263614,HYG,"ARIMA(1,0,1)"
2008-06-05,4.04087747840497e-05,HYG,"ARIMA(1,0,1)"
2008-06-06,-0.000125549817382975,HYG,"ARIMA(1,0,1)"
2008-06-09,0.00010042043418564126,HYG,"ARIMA(1,0,1)"
2008-06-10,-8.026456519719727e-05,HYG,"ARIMA(1,0,1)"
2008-06-11,4.695727194463256e-05,HYG,"ARIMA(1,0,1)"
2008-06-12,5.438390267295524e-05,HYG,"ARIMA(1,0,1)"
2008-06-13,8.079274043969908e-05,HYG,"ARIMA(1,0,1)"
2008-06-16,-7.45527402021013e-05,HYG,"ARIMA(1,0,1)"
2008-06-17,0.00047749421760161063,HYG,"ARIMA(1,0,1)"
2008-06-18,-8.307606613790569e-05,HYG,"ARIMA(1,0,1)"
2008-06-19,-5.4462096630442866e-05,HYG,"ARIMA(1,0,1)"
2008-06-20,0.00024088388272628907,HYG,"ARIMA(1,0,1)"
2008-06-23,7.79940780899072e-05,HYG,"ARIMA(1,0,1)"
2008-06-24,5.256097163163363e-05,HYG,"ARIMA(1,0,1)"
2008-06-25,6.261456806538853e-05,HYG,"ARIMA(1,0,1)"
2008-06-26,-0.00014220609977241947,HYG,"ARIMA(1,0,1)"
2008-06-27,0.00023483032326683528,HYG,"ARIMA(1,0,1)"
2008-06-30,-3.967372842815926e-05,HYG,"ARIMA(1,0,1)"
2008-07-01,2.024500204861648e-05,HYG,"ARIMA(1,0,1)"
2008-07-02,-4.225696446331066e-05,HYG,"ARIMA(1,0,1)"
2008-07-03,-3.6348962864161746e-05,HYG,"ARIMA(1,0,1)"
2008-07-07,-3.352722710927905e-05,HYG,"ARIMA(1,0,1)"
