Date,pred,var_pred,asset,model
2008-04-11,0.0,2.699300144516552e-05,HYG,GARCH11-t
2008-04-14,0.0,3.108552697483421e-05,HYG,GARCH11-t
2008-04-15,0.0,2.921172659059546e-05,HYG,GARCH11-t
2008-04-16,0.0,2.632225837051508e-05,HYG,GARCH11-t
2008-04-17,0.0,2.5706862921716942e-05,HYG,GARCH11-t
2008-04-18,0.0,2.330625916318389e-05,HYG,GARCH11-t
2008-04-21,0.0,2.5892152775334337e-05,HYG,GARCH11-t
2008-04-22,0.0,2.731732638595239e-05,HYG,GARCH11-t
2008-04-23,0.0,2.189242910057814e-05,HYG,GARCH11-t
2008-04-24,0.0,2.1168158492155806e-05,HYG,GARCH11-t
2008-04-25,0.0,1.9252855848246e-05,HYG,GARCH11-t
2008-04-28,0.0,2.425213009488308e-05,HYG,GARCH11-t
2008-04-29,0.0,2.5648907160941637e-05,HYG,GARCH11-t
2008-04-30,0.0,2.035621396982303e-05,HYG,GARCH11-t
2008-05-01,0.0,1.869086575669422e-05,HYG,GARCH11-t
2008-05-02,0.0,4.393130005625348e-05,HYG,GARCH11-t
2008-05-05,0.0,4.679984003758791e-05,HYG,GARCH11-t
2008-05-06,0.0,5.335747219044152e-05,HYG,GARCH11-t
2008-05-07,0.0,4.7007350025392655e-05,HYG,GARCH11-t
2008-05-08,0.0,3.58906240412475e-05,HYG,GARCH11-t
2008-05-09,0.0,2.775671202728688e-05,HYG,GARCH11-t
2008-05-12,0.0,2.4796238463782393e-05,HYG,GARCH11-t
2008-05-13,0.0,2.2773072237643574e-05,HYG,GARCH11-t
2008-05-14,0.0,2.414059444474441e-05,HYG,GARCH11-t
2008-05-15,0.0,2.4361599299195345e-05,HYG,GARCH11-t
2008-05-16,0.0,2.5408399170178754e-05,HYG,GARCH11-t
2008-05-19,0.0,2.47445522485741e-05,HYG,GARCH11-t
2008-05-20,0.0,2.7270146396361625e-05,HYG,GARCH11-t
2008-05-21,0.0,2.5669892088986403e-05,HYG,GARCH11-t
2008-05-22,0.0,2.5124506159953115e-05,HYG,GARCH11-t
2008-05-23,0.0,2.4763200580638063e-05,HYG,GARCH11-t
2008-05-27,0.0,3.032138423939045e-05,HYG,GARCH11-t
2008-05-28,0.0,3.260525015907078e-05,HYG,GARCH11-t
2008-05-29,0.0,3.0888177498535956e-05,HYG,GARCH11-t
2008-05-30,0.0,2.6558014491992583e-05,HYG,GARCH11-t
2008-06-02,0.0,2.2683807830511353e-05,HYG,GARCH11-t
2008-06-03,0.0,3.830887291706401e-05,HYG,GARCH11-t
2008-06-04,0.0,2.8630983228702173e-05,HYG,GARCH11-t
2008-06-05,0.0,2.5833944914173113e-05,HYG,GARCH11-t
2008-06-06,0.0,2.858313771541177e-05,HYG,GARCH11-t
