Date,pred,var_pred,asset,model
2007-01-05,0.0,7.138620249762399e-06,IEF,GARCH11-t
2007-01-08,0.0,7.361147768560762e-06,IEF,GARCH11-t
2007-01-09,0.0,7.084240476914216e-06,IEF,GARCH11-t
2007-01-10,0.0,7.02911181012041e-06,IEF,GARCH11-t
2007-01-11,0.0,7.392205949439279e-06,IEF,GARCH11-t
2007-01-12,0.0,7.185854697395967e-06,IEF,GARCH11-t
2007-01-16,0.0,7.170810407086631e-06,IEF,GARCH11-t
2007-01-17,0.0,6.988162303709152e-06,IEF,GARCH11-t
2007-01-18,0.0,6.936672945915221e-06,IEF,GARCH11-t
2007-01-19,0.0,6.902777204794139e-06,IEF,GARCH11-t
2007-01-22,0.0,6.90838355902915e-06,IEF,GARCH11-t
2007-01-23,0.0,6.903557051492405e-06,IEF,GARCH11-t
2007-01-24,0.0,6.980985985172426e-06,IEF,GARCH11-t
2007-01-25,0.0,6.994376743800766e-06,IEF,GARCH11-t
2007-01-26,0.0,7.165520007484435e-06,IEF,GARCH11-t
2007-01-29,0.0,6.722520816716432e-06,IEF,GARCH11-t
2007-01-30,0.0,6.663643932743045e-06,IEF,GARCH11-t
2007-01-31,0.0,6.785746237857076e-06,IEF,GARCH11-t
2007-02-01,0.0,6.9354092873284955e-06,IEF,GARCH11-t
2007-02-02,0.0,6.973327089507783e-06,IEF,GARCH11-t
2007-02-05,0.0,6.8746290353671775e-06,IEF,GARCH11-t
2007-02-06,0.0,6.785068364898878e-06,IEF,GARCH11-t
2007-02-07,0.0,6.9486064303818396e-06,IEF,GARCH11-t
2007-02-08,0.0,6.978852782917664e-06,IEF,GARCH11-t
2007-02-09,0.0,6.803649256938277e-06,IEF,GARCH11-t
2007-02-12,0.0,6.909829947012719e-06,IEF,GARCH11-t
2007-02-13,0.0,6.971698053274067e-06,IEF,GARCH11-t
2007-02-14,0.0,6.800242730726521e-06,IEF,GARCH11-t
2007-02-15,0.0,7.398495117816981e-06,IEF,GARCH11-t
2007-02-16,0.0,7.243235188205333e-06,IEF,GARCH11-t
2007-02-20,0.0,7.138954714875928e-06,IEF,GARCH11-t
2007-02-21,0.0,6.888749717717286e-06,IEF,GARCH11-t
2007-02-22,0.0,6.8733208775104485e-06,IEF,GARCH11-t
2007-02-23,0.0,6.938633421841031e-06,IEF,GARCH11-t
2007-02-26,0.0,7.064186810620689e-06,IEF,GARCH11-t
2007-02-27,0.0,7.226116878911778e-06,IEF,GARCH11-t
2007-02-28,0.0,8.006763047783425e-06,IEF,GARCH11-t
2007-03-01,0.0,7.69336693017118e-06,IEF,GARCH11-t
2007-03-02,0.0,7.3817999185026295e-06,IEF,GARCH11-t
2007-03-05,0.0,7.416524762983161e-06,IEF,GARCH11-t
2007-03-06,0.0,7.204335952654873e-06,IEF,GARCH11-t
2007-03-07,0.0,7.145608141742671e-06,IEF,GARCH11-t
2007-03-08,0.0,7.113064498939402e-06,IEF,GARCH11-t
2007-03-09,0.0,7.077223664352447e-06,IEF,GARCH11-t
2007-03-12,0.0,7.500067834684765e-06,IEF,GARCH11-t
2007-03-13,0.0,7.5999698455220415e-06,IEF,GARCH11-t
2007-03-14,0.0,7.750469966637037e-06,IEF,GARCH11-t
2007-03-15,0.0,7.65863730893864e-06,IEF,GARCH11-t
2007-03-16,0.0,7.012175513910759e-06,IEF,GARCH11-t
2007-03-19,0.0,7.1675515457305105e-06,IEF,GARCH11-t
2007-03-20,0.0,7.0123071125627985e-06,IEF,GARCH11-t
2007-03-21,0.0,7.033254865680971e-06,IEF,GARCH11-t
2007-03-22,0.0,6.997217745467537e-06,IEF,GARCH11-t
2007-03-23,0.0,7.0663302963348755e-06,IEF,GARCH11-t
2007-03-26,0.0,7.040476522994885e-06,IEF,GARCH11-t
2007-03-27,0.0,6.965903757397993e-06,IEF,GARCH11-t
2007-03-28,0.0,6.84780305290851e-06,IEF,GARCH11-t
2007-03-29,0.0,6.834956155707659e-06,IEF,GARCH11-t
2007-03-30,0.0,6.755709216723076e-06,IEF,GARCH11-t
2007-04-02,0.0,6.767538349811757e-06,IEF,GARCH11-t
2007-04-03,0.0,6.599011935924293e-06,IEF,GARCH11-t
2007-04-04,0.0,6.731543423769905e-06,IEF,GARCH11-t
2007-04-05,0.0,6.750869835157842e-06,IEF,GARCH11-t
2007-04-09,0.0,6.822650832689172e-06,IEF,GARCH11-t
2007-04-10,0.0,7.054401340156084e-06,IEF,GARCH11-t
2007-04-11,0.0,6.953946565333552e-06,IEF,GARCH11-t
2007-04-12,0.0,6.808633807895131e-06,IEF,GARCH11-t
2007-04-13,0.0,6.584157569790383e-06,IEF,GARCH11-t
2007-04-16,0.0,6.741889991704961e-06,IEF,GARCH11-t
2007-04-17,0.0,6.529956775259376e-06,IEF,GARCH11-t
2007-04-18,0.0,6.8498460765408355e-06,IEF,GARCH11-t
2007-04-19,0.0,6.76383069493838e-06,IEF,GARCH11-t
2007-04-20,0.0,6.578083742928553e-06,IEF,GARCH11-t
2007-04-23,0.0,6.5947126570760706e-06,IEF,GARCH11-t
2007-04-24,0.0,6.54720837567962e-06,IEF,GARCH11-t
2007-04-25,0.0,6.6265846553515705e-06,IEF,GARCH11-t
2007-04-26,0.0,6.447237605830347e-06,IEF,GARCH11-t
2007-04-27,0.0,6.440357033928661e-06,IEF,GARCH11-t
2007-04-30,0.0,6.1824602194637585e-06,IEF,GARCH11-t
2007-05-01,0.0,7.04010978458305e-06,IEF,GARCH11-t
2007-05-02,0.0,6.458685002866287e-06,IEF,GARCH11-t
2007-05-03,0.0,6.173541599076832e-06,IEF,GARCH11-t
2007-05-04,0.0,6.071607905881283e-06,IEF,GARCH11-t
2007-05-07,0.0,6.292402578312183e-06,IEF,GARCH11-t
2007-05-08,0.0,6.120587619243407e-06,IEF,GARCH11-t
2007-05-09,0.0,5.980536590121198e-06,IEF,GARCH11-t
2007-05-10,0.0,6.4952353615872995e-06,IEF,GARCH11-t
2007-05-11,0.0,6.52204002946123e-06,IEF,GARCH11-t
2007-05-14,0.0,6.409213843267897e-06,IEF,GARCH11-t
2007-05-15,0.0,6.342128170148753e-06,IEF,GARCH11-t
2007-05-16,0.0,6.248813811385155e-06,IEF,GARCH11-t
2007-05-17,0.0,6.333881709668e-06,IEF,GARCH11-t
2007-05-18,0.0,6.357946605555614e-06,IEF,GARCH11-t
2007-05-21,0.0,6.448638943639657e-06,IEF,GARCH11-t
2007-05-22,0.0,6.007757042702357e-06,IEF,GARCH11-t
2007-05-23,0.0,6.238867557341996e-06,IEF,GARCH11-t
2007-05-24,0.0,6.162425498059641e-06,IEF,GARCH11-t
2007-05-25,0.0,6.025992167726072e-06,IEF,GARCH11-t
2007-05-29,0.0,5.914930975408309e-06,IEF,GARCH11-t
2007-05-30,0.0,6.0065680009821425e-06,IEF,GARCH11-t
2007-05-31,0.0,5.933071903813335e-06,IEF,GARCH11-t
2007-06-01,0.0,5.859249027472781e-06,IEF,GARCH11-t
2007-06-04,0.0,6.260719858990897e-06,IEF,GARCH11-t
2007-06-05,0.0,6.327272107919168e-06,IEF,GARCH11-t
2007-06-06,0.0,6.409412500155233e-06,IEF,GARCH11-t
2007-06-07,0.0,6.016590144036301e-06,IEF,GARCH11-t
2007-06-08,0.0,1.111527161122478e-05,IEF,GARCH11-t
2007-06-11,0.0,6.954137681740334e-06,IEF,GARCH11-t
2007-06-12,0.0,6.761934117988481e-06,IEF,GARCH11-t
2007-06-13,0.0,9.328741029531505e-06,IEF,GARCH11-t
2007-06-14,0.0,9.165541456366786e-06,IEF,GARCH11-t
2007-06-15,0.0,7.042275098711202e-06,IEF,GARCH11-t
2007-06-18,0.0,8.089815904210218e-06,IEF,GARCH11-t
2007-06-19,0.0,7.250702195261363e-06,IEF,GARCH11-t
2007-06-20,0.0,7.964076051342856e-06,IEF,GARCH11-t
2007-06-21,0.0,7.75110720537474e-06,IEF,GARCH11-t
2007-06-22,0.0,7.1511290906289485e-06,IEF,GARCH11-t
2007-06-25,0.0,7.157883115020161e-06,IEF,GARCH11-t
2007-06-26,0.0,7.216471886265082e-06,IEF,GARCH11-t
2007-06-27,0.0,6.734892365714053e-06,IEF,GARCH11-t
2007-06-28,0.0,6.419855935814609e-06,IEF,GARCH11-t
2007-06-29,0.0,6.212108056821221e-06,IEF,GARCH11-t
2007-07-02,0.0,7.410155710444173e-06,IEF,GARCH11-t
2007-07-03,0.0,6.979284591779906e-06,IEF,GARCH11-t
2007-07-05,0.0,7.00271508857446e-06,IEF,GARCH11-t
2007-07-06,0.0,8.254737101302835e-06,IEF,GARCH11-t
2007-07-09,0.0,7.690537537331493e-06,IEF,GARCH11-t
2007-07-10,0.0,7.724867034132467e-06,IEF,GARCH11-t
2007-07-11,0.0,9.539404547963069e-06,IEF,GARCH11-t
2007-07-12,0.0,9.62976338972189e-06,IEF,GARCH11-t
2007-07-13,0.0,8.370746381442885e-06,IEF,GARCH11-t
2007-07-16,0.0,7.835773118572612e-06,IEF,GARCH11-t
2007-07-17,0.0,8.051079101002966e-06,IEF,GARCH11-t
2007-07-18,0.0,7.72385836307936e-06,IEF,GARCH11-t
2007-07-19,0.0,8.241058379348276e-06,IEF,GARCH11-t
2007-07-20,0.0,7.144049113478761e-06,IEF,GARCH11-t
2007-07-23,0.0,8.905850769660762e-06,IEF,GARCH11-t
2007-07-24,0.0,8.390919756121448e-06,IEF,GARCH11-t
2007-07-25,0.0,8.320596540361015e-06,IEF,GARCH11-t
2007-07-26,0.0,8.142684625471766e-06,IEF,GARCH11-t
2007-07-27,0.0,1.0238072892158605e-05,IEF,GARCH11-t
2007-07-30,0.0,9.80393087453916e-06,IEF,GARCH11-t
2007-07-31,0.0,9.410757322460712e-06,IEF,GARCH11-t
2007-08-01,0.0,9.599880746858018e-06,IEF,GARCH11-t
2007-08-02,0.0,9.539228851577828e-06,IEF,GARCH11-t
2007-08-03,0.0,9.147205144444286e-06,IEF,GARCH11-t
2007-08-06,0.0,1.0257252466389884e-05,IEF,GARCH11-t
2007-08-07,0.0,1.0317892920233998e-05,IEF,GARCH11-t
2007-08-08,0.0,9.659834998830653e-06,IEF,GARCH11-t
2007-08-09,0.0,1.1158683682406257e-05,IEF,GARCH11-t
2007-08-10,0.0,1.3081146410267142e-05,IEF,GARCH11-t
2007-08-13,0.0,1.181357489767781e-05,IEF,GARCH11-t
2007-08-14,0.0,1.0998015675694597e-05,IEF,GARCH11-t
2007-08-15,0.0,1.0346629793295074e-05,IEF,GARCH11-t
2007-08-16,0.0,9.751353540820414e-06,IEF,GARCH11-t
2007-08-17,0.0,1.028371991361939e-05,IEF,GARCH11-t
2007-08-20,0.0,9.428580849241701e-06,IEF,GARCH11-t
2007-08-21,0.0,8.960055709561886e-06,IEF,GARCH11-t
2007-08-22,0.0,1.0756609475476965e-05,IEF,GARCH11-t
2007-08-23,0.0,9.206726547668063e-06,IEF,GARCH11-t
2007-08-24,0.0,8.779405165997027e-06,IEF,GARCH11-t
2007-08-27,0.0,8.665050901488246e-06,IEF,GARCH11-t
2007-08-28,0.0,8.412289840573653e-06,IEF,GARCH11-t
2007-08-29,0.0,9.249876660686145e-06,IEF,GARCH11-t
2007-08-30,0.0,9.44573148013228e-06,IEF,GARCH11-t
2007-08-31,0.0,1.0105770804982558e-05,IEF,GARCH11-t
2007-09-04,0.0,9.668507186154887e-06,IEF,GARCH11-t
2007-09-05,0.0,9.096082963510386e-06,IEF,GARCH11-t
2007-09-06,0.0,1.056931525256731e-05,IEF,GARCH11-t
2007-09-07,0.0,1.0190282156819257e-05,IEF,GARCH11-t
2007-09-10,0.0,1.663589615977021e-05,IEF,GARCH11-t
2007-09-11,0.0,1.59011269588631e-05,IEF,GARCH11-t
2007-09-12,0.0,1.5191682712878495e-05,IEF,GARCH11-t
2007-09-13,0.0,1.4613657564182884e-05,IEF,GARCH11-t
2007-09-14,0.0,1.5550686131847006e-05,IEF,GARCH11-t
2007-09-17,0.0,1.545468920812031e-05,IEF,GARCH11-t
