Date,pred,asset,model
2007-01-05,0.005105572704944994,IWM,HAR-RV
2007-01-08,0.006274330963233208,IWM,HAR-RV
2007-01-09,0.005627939990379258,IWM,HAR-RV
2007-01-10,0.0056209643501445436,IWM,HAR-RV
2007-01-11,0.005890246034125789,IWM,HAR-RV
2007-01-12,0.005795936515719743,IWM,HAR-RV
2007-01-16,0.005791432456848914,IWM,HAR-RV
2007-01-17,0.006887864569961447,IWM,HAR-RV
2007-01-18,0.0070085200593750455,IWM,HAR-RV
2007-01-19,0.007419891050928202,IWM,HAR-RV
2007-01-22,0.0075612121457419084,IWM,HAR-RV
2007-01-23,0.007945357141456725,IWM,HAR-RV
2007-01-24,0.008273739659167438,IWM,HAR-RV
2007-01-25,0.007890462828135911,IWM,HAR-RV
2007-01-26,0.007904210042648336,IWM,HAR-RV
2007-01-29,0.007860262664570484,IWM,HAR-RV
2007-01-30,0.008215681644756369,IWM,HAR-RV
2007-01-31,0.007939794134273192,IWM,HAR-RV
2007-02-01,0.007918274690027368,IWM,HAR-RV
2007-02-02,0.008246147443964697,IWM,HAR-RV
2007-02-05,0.00819610458060584,IWM,HAR-RV
2007-02-06,0.008382351520391,IWM,HAR-RV
2007-02-07,0.008822112691198356,IWM,HAR-RV
2007-02-08,0.008902710138389561,IWM,HAR-RV
2007-02-09,0.007398628805508712,IWM,HAR-RV
2007-02-12,0.008247884059695032,IWM,HAR-RV
2007-02-13,0.007274413607987388,IWM,HAR-RV
2007-02-14,0.0071350286225758085,IWM,HAR-RV
2007-02-15,0.0066544103315709325,IWM,HAR-RV
2007-02-16,0.006954759461408997,IWM,HAR-RV
2007-02-20,0.006764267459955621,IWM,HAR-RV
2007-02-21,0.006903675806789138,IWM,HAR-RV
2007-02-22,0.006119898873996157,IWM,HAR-RV
2007-02-23,0.00673103537775497,IWM,HAR-RV
2007-02-26,0.006309468002764098,IWM,HAR-RV
2007-02-27,0.00571608099216491,IWM,HAR-RV
2007-02-28,0.0062864972443631645,IWM,HAR-RV
2007-03-01,0.0037298156126893446,IWM,HAR-RV
2007-03-02,0.005163336975182533,IWM,HAR-RV
2007-03-05,0.005913960933038643,IWM,HAR-RV
2007-03-06,0.006320279454213737,IWM,HAR-RV
2007-03-07,0.008661793003154915,IWM,HAR-RV
2007-03-08,0.008376224556406225,IWM,HAR-RV
2007-03-09,0.009548107727016426,IWM,HAR-RV
2007-03-12,0.009527899122395945,IWM,HAR-RV
2007-03-13,0.009482841891765107,IWM,HAR-RV
2007-03-14,0.009565052912008326,IWM,HAR-RV
2007-03-15,0.00925371502116482,IWM,HAR-RV
2007-03-16,0.010038569082524672,IWM,HAR-RV
2007-03-19,0.010331757324999132,IWM,HAR-RV
2007-03-20,0.010286146300753512,IWM,HAR-RV
2007-03-21,0.010438969224808591,IWM,HAR-RV
2007-03-22,0.010821964012431972,IWM,HAR-RV
2007-03-23,0.01071097133503097,IWM,HAR-RV
2007-03-26,0.011054163991737772,IWM,HAR-RV
2007-03-27,0.010738739550682958,IWM,HAR-RV
2007-03-28,0.010451131371825677,IWM,HAR-RV
2007-03-29,0.010177645231746284,IWM,HAR-RV
2007-03-30,0.009568578164571864,IWM,HAR-RV
2007-04-02,0.00862390770809995,IWM,HAR-RV
2007-04-03,0.008285205405564402,IWM,HAR-RV
2007-04-04,0.008292844738161154,IWM,HAR-RV
2007-04-05,0.00784423698550353,IWM,HAR-RV
2007-04-09,0.0075243276182616736,IWM,HAR-RV
2007-04-10,0.006924185241593394,IWM,HAR-RV
2007-04-11,0.006807292614973235,IWM,HAR-RV
2007-04-12,0.006678263501124659,IWM,HAR-RV
2007-04-13,0.006128016492713341,IWM,HAR-RV
2007-04-16,0.006309483837909068,IWM,HAR-RV
2007-04-17,0.006386400913668209,IWM,HAR-RV
2007-04-18,0.006580846741272433,IWM,HAR-RV
2007-04-19,0.007176558110265432,IWM,HAR-RV
2007-04-20,0.0069184840367865754,IWM,HAR-RV
2007-04-23,0.006819683569722273,IWM,HAR-RV
2007-04-24,0.006584875690218529,IWM,HAR-RV
2007-04-25,0.006215991199306993,IWM,HAR-RV
2007-04-26,0.006087677704226705,IWM,HAR-RV
2007-04-27,0.005750793234762211,IWM,HAR-RV
2007-04-30,0.0056706229154989745,IWM,HAR-RV
2007-05-01,0.005656918628391908,IWM,HAR-RV
2007-05-02,0.005697075808845747,IWM,HAR-RV
2007-05-03,0.007035121165206128,IWM,HAR-RV
2007-05-04,0.0070950466945629695,IWM,HAR-RV
2007-05-07,0.007342781676575228,IWM,HAR-RV
2007-05-08,0.007121027531456582,IWM,HAR-RV
2007-05-09,0.006663965953893803,IWM,HAR-RV
2007-05-10,0.006660418531908301,IWM,HAR-RV
2007-05-11,0.006459062647713667,IWM,HAR-RV
2007-05-14,0.006753026783368459,IWM,HAR-RV
2007-05-15,0.006983601086962016,IWM,HAR-RV
2007-05-16,0.007260528378285377,IWM,HAR-RV
2007-05-17,0.007447714540784968,IWM,HAR-RV
2007-05-18,0.007473653086989295,IWM,HAR-RV
2007-05-21,0.0072898894715468145,IWM,HAR-RV
2007-05-22,0.0073840105182591525,IWM,HAR-RV
2007-05-23,0.007604803938506233,IWM,HAR-RV
2007-05-24,0.007638947036565876,IWM,HAR-RV
2007-05-25,0.007738430384147077,IWM,HAR-RV
2007-05-29,0.0077684279247829755,IWM,HAR-RV
2007-05-30,0.007887041376853053,IWM,HAR-RV
2007-05-31,0.007725236065599925,IWM,HAR-RV
2007-06-01,0.007719186117297662,IWM,HAR-RV
2007-06-04,0.007703855117969635,IWM,HAR-RV
2007-06-05,0.007303379976452201,IWM,HAR-RV
2007-06-06,0.006958874772585749,IWM,HAR-RV
2007-06-07,0.006727194726606339,IWM,HAR-RV
2007-06-08,0.00714530035671398,IWM,HAR-RV
2007-06-11,0.008255678451897211,IWM,HAR-RV
2007-06-12,0.008377318344213914,IWM,HAR-RV
2007-06-13,0.008179221417649728,IWM,HAR-RV
2007-06-14,0.00893858390112371,IWM,HAR-RV
2007-06-15,0.009116047480700485,IWM,HAR-RV
2007-06-18,0.008596783947924383,IWM,HAR-RV
2007-06-19,0.008501711838853052,IWM,HAR-RV
2007-06-20,0.00842402021468109,IWM,HAR-RV
2007-06-21,0.0077995757192807,IWM,HAR-RV
2007-06-22,0.007456119202586259,IWM,HAR-RV
2007-06-25,0.007589399994547122,IWM,HAR-RV
2007-06-26,0.007434788151208631,IWM,HAR-RV
2007-06-27,0.007816955185418589,IWM,HAR-RV
2007-06-28,0.00809872206050174,IWM,HAR-RV
2007-06-29,0.007316887280460238,IWM,HAR-RV
2007-07-02,0.008078703326226443,IWM,HAR-RV
2007-07-03,0.007591602057035832,IWM,HAR-RV
2007-07-05,0.007686521091419559,IWM,HAR-RV
2007-07-06,0.007808218491532074,IWM,HAR-RV
2007-07-09,0.006585459273386706,IWM,HAR-RV
2007-07-10,0.006712667830712312,IWM,HAR-RV
2007-07-11,0.006598862001657482,IWM,HAR-RV
2007-07-12,0.006150030562586364,IWM,HAR-RV
2007-07-13,0.006799357954770446,IWM,HAR-RV
2007-07-16,0.006990638876988465,IWM,HAR-RV
2007-07-17,0.007513826451767787,IWM,HAR-RV
2007-07-18,0.007578995418944504,IWM,HAR-RV
2007-07-19,0.006858617497832635,IWM,HAR-RV
2007-07-20,0.006650642930632646,IWM,HAR-RV
