Date,pred,var_pred,asset,model
2007-01-05,0.0,1.1523253017563582e-05,LQD,GARCH11-t
2007-01-08,0.0,7.649343880532195e-06,LQD,GARCH11-t
2007-01-09,0.0,6.757193303414565e-06,LQD,GARCH11-t
2007-01-10,0.0,6.38213837158218e-06,LQD,GARCH11-t
2007-01-11,0.0,6.163642259838523e-06,LQD,GARCH11-t
2007-01-12,0.0,6.523876769958902e-06,LQD,GARCH11-t
2007-01-16,0.0,6.278656592271557e-06,LQD,GARCH11-t
2007-01-17,0.0,6.118123614669934e-06,LQD,GARCH11-t
2007-01-18,0.0,6.080933686254006e-06,LQD,GARCH11-t
2007-01-19,0.0,6.619421588051274e-06,LQD,GARCH11-t
2007-01-22,0.0,6.223581470209267e-06,LQD,GARCH11-t
2007-01-23,0.0,6.054785364963994e-06,LQD,GARCH11-t
2007-01-24,0.0,6.376016065344464e-06,LQD,GARCH11-t
2007-01-25,0.0,6.133055210779305e-06,LQD,GARCH11-t
2007-01-26,0.0,6.499896784753551e-06,LQD,GARCH11-t
2007-01-29,0.0,6.1313243426589955e-06,LQD,GARCH11-t
2007-01-30,0.0,5.974471598727686e-06,LQD,GARCH11-t
2007-01-31,0.0,6.224370439546205e-06,LQD,GARCH11-t
2007-02-01,0.0,6.81101605734323e-06,LQD,GARCH11-t
2007-02-02,0.0,6.263661269145525e-06,LQD,GARCH11-t
2007-02-05,0.0,6.074535469757459e-06,LQD,GARCH11-t
2007-02-06,0.0,6.030652866342151e-06,LQD,GARCH11-t
2007-02-07,0.0,6.2833955610851354e-06,LQD,GARCH11-t
2007-02-08,0.0,6.313162130973869e-06,LQD,GARCH11-t
2007-02-09,0.0,6.023777558560389e-06,LQD,GARCH11-t
2007-02-12,0.0,6.86741792840132e-06,LQD,GARCH11-t
2007-02-13,0.0,6.324173789087185e-06,LQD,GARCH11-t
2007-02-14,0.0,6.092431775988903e-06,LQD,GARCH11-t
2007-02-15,0.0,7.384039220553742e-06,LQD,GARCH11-t
2007-02-16,0.0,6.885905148988542e-06,LQD,GARCH11-t
2007-02-20,0.0,6.575076707870508e-06,LQD,GARCH11-t
2007-02-21,0.0,6.847719095808201e-06,LQD,GARCH11-t
2007-02-22,0.0,6.44034571915315e-06,LQD,GARCH11-t
2007-02-23,0.0,6.509664545280076e-06,LQD,GARCH11-t
2007-02-26,0.0,6.7045242809933764e-06,LQD,GARCH11-t
2007-02-27,0.0,6.623157072391156e-06,LQD,GARCH11-t
2007-02-28,0.0,7.007789548160996e-06,LQD,GARCH11-t
2007-03-01,0.0,6.713723634167664e-06,LQD,GARCH11-t
2007-03-02,0.0,6.638507705161479e-06,LQD,GARCH11-t
2007-03-05,0.0,6.3843062742513804e-06,LQD,GARCH11-t
2007-03-06,0.0,6.724826394751504e-06,LQD,GARCH11-t
2007-03-07,0.0,6.666746756736156e-06,LQD,GARCH11-t
2007-03-08,0.0,6.428642157582222e-06,LQD,GARCH11-t
2007-03-09,0.0,6.556548590702175e-06,LQD,GARCH11-t
2007-03-12,0.0,5.621077613282134e-06,LQD,GARCH11-t
2007-03-13,0.0,6.673647399692896e-06,LQD,GARCH11-t
2007-03-14,0.0,6.556640195789234e-06,LQD,GARCH11-t
2007-03-15,0.0,6.45108564227035e-06,LQD,GARCH11-t
2007-03-16,0.0,6.057055150078899e-06,LQD,GARCH11-t
2007-03-19,0.0,6.68281794250438e-06,LQD,GARCH11-t
2007-03-20,0.0,6.257004249590959e-06,LQD,GARCH11-t
2007-03-21,0.0,6.3536636450829745e-06,LQD,GARCH11-t
2007-03-22,0.0,6.490883658649619e-06,LQD,GARCH11-t
2007-03-23,0.0,6.463950795847066e-06,LQD,GARCH11-t
2007-03-26,0.0,6.438239358421733e-06,LQD,GARCH11-t
2007-03-27,0.0,6.260845126928133e-06,LQD,GARCH11-t
2007-03-28,0.0,5.983018101572523e-06,LQD,GARCH11-t
2007-03-29,0.0,5.888732843263616e-06,LQD,GARCH11-t
2007-03-30,0.0,5.821024046420163e-06,LQD,GARCH11-t
2007-04-02,0.0,6.073315694163037e-06,LQD,GARCH11-t
2007-04-03,0.0,5.635704716935062e-06,LQD,GARCH11-t
2007-04-04,0.0,5.652206455301964e-06,LQD,GARCH11-t
2007-04-05,0.0,5.567378870725067e-06,LQD,GARCH11-t
2007-04-09,0.0,5.858054550145048e-06,LQD,GARCH11-t
2007-04-10,0.0,6.339891778926574e-06,LQD,GARCH11-t
2007-04-11,0.0,6.268185040794844e-06,LQD,GARCH11-t
2007-04-12,0.0,6.13541949614245e-06,LQD,GARCH11-t
2007-04-13,0.0,5.999735382934253e-06,LQD,GARCH11-t
2007-04-16,0.0,6.011979802839977e-06,LQD,GARCH11-t
2007-04-17,0.0,5.572038427661476e-06,LQD,GARCH11-t
2007-04-18,0.0,7.163221179050362e-06,LQD,GARCH11-t
2007-04-19,0.0,6.314803945601213e-06,LQD,GARCH11-t
2007-04-20,0.0,5.8934559430606445e-06,LQD,GARCH11-t
2007-04-23,0.0,5.71069764886287e-06,LQD,GARCH11-t
2007-04-24,0.0,6.072887838844705e-06,LQD,GARCH11-t
2007-04-25,0.0,6.12924350482096e-06,LQD,GARCH11-t
2007-04-26,0.0,6.0922348709194225e-06,LQD,GARCH11-t
2007-04-27,0.0,5.895159757529784e-06,LQD,GARCH11-t
