Date,pred,var_pred,asset,model
2007-01-05,0.0,8.760472218723618e-05,QQQ,GARCH11-t
2007-01-08,0.0,8.6901421196269e-05,QQQ,GARCH11-t
2007-01-09,0.0,8.616739031982636e-05,QQQ,GARCH11-t
2007-01-10,0.0,8.494951330948627e-05,QQQ,GARCH11-t
2007-01-11,0.0,8.598740163412787e-05,QQQ,GARCH11-t
2007-01-12,0.0,8.663785818937101e-05,QQQ,GARCH11-t
2007-01-16,0.0,8.611844250067356e-05,QQQ,GARCH11-t
2007-01-17,0.0,8.538401173627744e-05,QQQ,GARCH11-t
2007-01-18,0.0,8.557866859407847e-05,QQQ,GARCH11-t
2007-01-19,0.0,8.920788319203811e-05,QQQ,GARCH11-t
2007-01-22,0.0,8.81630089615839e-05,QQQ,GARCH11-t
2007-01-23,0.0,9.530412784585364e-05,QQQ,GARCH11-t
2007-01-24,0.0,8.309531789665802e-05,QQQ,GARCH11-t
2007-01-25,0.0,8.857439072845862e-05,QQQ,GARCH11-t
2007-01-26,0.0,9.455652873756163e-05,QQQ,GARCH11-t
2007-01-29,0.0,9.122352095580348e-05,QQQ,GARCH11-t
2007-01-30,0.0,8.907080637004897e-05,QQQ,GARCH11-t
2007-01-31,0.0,8.207702900163587e-05,QQQ,GARCH11-t
2007-02-01,0.0,8.960928710084003e-05,QQQ,GARCH11-t
2007-02-02,0.0,8.18712812973175e-05,QQQ,GARCH11-t
2007-02-05,0.0,8.602847450723473e-05,QQQ,GARCH11-t
2007-02-06,0.0,7.809682762655249e-05,QQQ,GARCH11-t
2007-02-07,0.0,7.638116670604304e-05,QQQ,GARCH11-t
2007-02-08,0.0,7.650875133850021e-05,QQQ,GARCH11-t
2007-02-09,0.0,7.278297108092351e-05,QQQ,GARCH11-t
2007-02-12,0.0,7.806578254848262e-05,QQQ,GARCH11-t
2007-02-13,0.0,7.844408994936126e-05,QQQ,GARCH11-t
2007-02-14,0.0,8.286495839135582e-05,QQQ,GARCH11-t
2007-02-15,0.0,8.750992710762532e-05,QQQ,GARCH11-t
2007-02-16,0.0,8.155414096721799e-05,QQQ,GARCH11-t
2007-02-20,0.0,7.747587303797404e-05,QQQ,GARCH11-t
2007-02-21,0.0,7.87096820613919e-05,QQQ,GARCH11-t
2007-02-22,0.0,8.364075437631888e-05,QQQ,GARCH11-t
2007-02-23,0.0,7.673200357163745e-05,QQQ,GARCH11-t
2007-02-26,0.0,7.243431008756187e-05,QQQ,GARCH11-t
2007-02-27,0.0,8.16447288535829e-05,QQQ,GARCH11-t
2007-02-28,0.0,0.00011957407742619241,QQQ,GARCH11-t
2007-03-01,0.0,0.00011027950907920413,QQQ,GARCH11-t
2007-03-02,0.0,0.0001148334753631366,QQQ,GARCH11-t
2007-03-05,0.0,0.00010833587089708494,QQQ,GARCH11-t
2007-03-06,0.0,0.00010823176680608296,QQQ,GARCH11-t
2007-03-07,0.0,0.00012306113284618923,QQQ,GARCH11-t
2007-03-08,0.0,0.00011965620964644469,QQQ,GARCH11-t
2007-03-09,0.0,0.00010615000509481445,QQQ,GARCH11-t
2007-03-12,0.0,0.00010610235021481877,QQQ,GARCH11-t
2007-03-13,0.0,0.00011142952572909315,QQQ,GARCH11-t
2007-03-14,0.0,0.00011170404838378831,QQQ,GARCH11-t
2007-03-15,0.0,0.00011508229128923364,QQQ,GARCH11-t
2007-03-16,0.0,0.00010314529720117532,QQQ,GARCH11-t
2007-03-19,0.0,0.00010161836751528874,QQQ,GARCH11-t
2007-03-20,0.0,0.00011572952149926779,QQQ,GARCH11-t
2007-03-21,0.0,0.0001016666600538094,QQQ,GARCH11-t
2007-03-22,0.0,0.00011950538226074514,QQQ,GARCH11-t
2007-03-23,0.0,0.0001173760991278063,QQQ,GARCH11-t
2007-03-26,0.0,0.00011374714697928965,QQQ,GARCH11-t
2007-03-27,0.0,0.00010065489346613964,QQQ,GARCH11-t
2007-03-28,0.0,0.0001001007306035189,QQQ,GARCH11-t
2007-03-29,0.0,0.00010066740379649158,QQQ,GARCH11-t
2007-03-30,0.0,9.960403006466388e-05,QQQ,GARCH11-t
2007-04-02,0.0,9.789777554307056e-05,QQQ,GARCH11-t
2007-04-03,0.0,9.604894037285291e-05,QQQ,GARCH11-t
2007-04-04,0.0,0.00010234940802554258,QQQ,GARCH11-t
2007-04-05,0.0,9.754969241447441e-05,QQQ,GARCH11-t
2007-04-09,0.0,9.701907915792555e-05,QQQ,GARCH11-t
2007-04-10,0.0,9.60813314711012e-05,QQQ,GARCH11-t
2007-04-11,0.0,9.578559671194153e-05,QQQ,GARCH11-t
2007-04-12,0.0,9.63824164024943e-05,QQQ,GARCH11-t
2007-04-13,0.0,9.536354661372098e-05,QQQ,GARCH11-t
2007-04-16,0.0,9.574843836762445e-05,QQQ,GARCH11-t
2007-04-17,0.0,9.525107983442687e-05,QQQ,GARCH11-t
2007-04-18,0.0,9.441257976124775e-05,QQQ,GARCH11-t
2007-04-19,0.0,8.582075990835745e-05,QQQ,GARCH11-t
2007-04-20,0.0,9.324301815302932e-05,QQQ,GARCH11-t
2007-04-23,0.0,8.551718596621533e-05,QQQ,GARCH11-t
2007-04-24,0.0,9.053148653521852e-05,QQQ,GARCH11-t
2007-04-25,0.0,8.972621034221279e-05,QQQ,GARCH11-t
2007-04-26,0.0,9.120990716718659e-05,QQQ,GARCH11-t
2007-04-27,0.0,8.095983764277842e-05,QQQ,GARCH11-t
2007-04-30,0.0,8.15048010513834e-05,QQQ,GARCH11-t
2007-05-01,0.0,9.124455508765478e-05,QQQ,GARCH11-t
2007-05-02,0.0,9.024020018495028e-05,QQQ,GARCH11-t
2007-05-03,0.0,9.072700792076318e-05,QQQ,GARCH11-t
2007-05-04,0.0,8.129932050743636e-05,QQQ,GARCH11-t
2007-05-07,0.0,8.940011762550652e-05,QQQ,GARCH11-t
2007-05-08,0.0,8.851281505156137e-05,QQQ,GARCH11-t
2007-05-09,0.0,8.771801298646157e-05,QQQ,GARCH11-t
2007-05-10,0.0,7.381114533309142e-05,QQQ,GARCH11-t
2007-05-11,0.0,8.88122729584456e-05,QQQ,GARCH11-t
2007-05-14,0.0,7.634792479175353e-05,QQQ,GARCH11-t
2007-05-15,0.0,8.847207510318537e-05,QQQ,GARCH11-t
2007-05-16,0.0,8.803579453783191e-05,QQQ,GARCH11-t
2007-05-17,0.0,8.852402295860658e-05,QQQ,GARCH11-t
2007-05-18,0.0,8.79470276285144e-05,QQQ,GARCH11-t
2007-05-21,0.0,8.759712513388362e-05,QQQ,GARCH11-t
2007-05-22,0.0,8.729381166769744e-05,QQQ,GARCH11-t
2007-05-23,0.0,7.351688044220977e-05,QQQ,GARCH11-t
2007-05-24,0.0,8.582138585838371e-05,QQQ,GARCH11-t
2007-05-25,0.0,7.386979892819875e-05,QQQ,GARCH11-t
2007-05-29,0.0,8.722020481252783e-05,QQQ,GARCH11-t
2007-05-30,0.0,7.248876805034902e-05,QQQ,GARCH11-t
2007-05-31,0.0,8.695002156960771e-05,QQQ,GARCH11-t
2007-06-01,0.0,8.527540118533034e-05,QQQ,GARCH11-t
2007-06-04,0.0,6.430373762898481e-05,QQQ,GARCH11-t
2007-06-05,0.0,7.108451292226826e-05,QQQ,GARCH11-t
2007-06-06,0.0,8.190339020284657e-05,QQQ,GARCH11-t
2007-06-07,0.0,7.046640578116893e-05,QQQ,GARCH11-t
2007-06-08,0.0,8.393273867490786e-05,QQQ,GARCH11-t
2007-06-11,0.0,8.498976869173744e-05,QQQ,GARCH11-t
2007-06-12,0.0,7.263302863643371e-05,QQQ,GARCH11-t
2007-06-13,0.0,8.397985548922329e-05,QQQ,GARCH11-t
2007-06-14,0.0,7.270586326885166e-05,QQQ,GARCH11-t
2007-06-15,0.0,8.35624536818225e-05,QQQ,GARCH11-t
2007-06-18,0.0,8.367252235539751e-05,QQQ,GARCH11-t
2007-06-19,0.0,8.107036577053404e-05,QQQ,GARCH11-t
2007-06-20,0.0,7.103343158245847e-05,QQQ,GARCH11-t
2007-06-21,0.0,8.056797174285749e-05,QQQ,GARCH11-t
2007-06-22,0.0,7.127092328914085e-05,QQQ,GARCH11-t
2007-06-25,0.0,7.205519375518166e-05,QQQ,GARCH11-t
2007-06-26,0.0,7.989147262041879e-05,QQQ,GARCH11-t
2007-06-27,0.0,8.4425428120681e-05,QQQ,GARCH11-t
2007-06-28,0.0,7.963741964210019e-05,QQQ,GARCH11-t
2007-06-29,0.0,8.09427486976198e-05,QQQ,GARCH11-t
2007-07-02,0.0,8.408195325948473e-05,QQQ,GARCH11-t
2007-07-03,0.0,8.133219566504119e-05,QQQ,GARCH11-t
2007-07-05,0.0,8.10724182765049e-05,QQQ,GARCH11-t
2007-07-06,0.0,8.105443227633357e-05,QQQ,GARCH11-t
2007-07-09,0.0,7.893947739885879e-05,QQQ,GARCH11-t
2007-07-10,0.0,7.83952159014012e-05,QQQ,GARCH11-t
2007-07-11,0.0,7.843136634741458e-05,QQQ,GARCH11-t
2007-07-12,0.0,7.649322489001427e-05,QQQ,GARCH11-t
2007-07-13,0.0,7.864261689959115e-05,QQQ,GARCH11-t
2007-07-16,0.0,7.840679454016945e-05,QQQ,GARCH11-t
2007-07-17,0.0,7.764969689980337e-05,QQQ,GARCH11-t
2007-07-18,0.0,7.725285659409443e-05,QQQ,GARCH11-t
2007-07-19,0.0,7.684514479839884e-05,QQQ,GARCH11-t
2007-07-20,0.0,7.638901437975722e-05,QQQ,GARCH11-t
2007-07-23,0.0,7.569274143091248e-05,QQQ,GARCH11-t
2007-07-24,0.0,7.329180451955956e-05,QQQ,GARCH11-t
2007-07-25,0.0,7.662961552562384e-05,QQQ,GARCH11-t
2007-07-26,0.0,7.437986003192027e-05,QQQ,GARCH11-t
2007-07-27,0.0,7.496912834020825e-05,QQQ,GARCH11-t
2007-07-30,0.0,7.9666180819301e-05,QQQ,GARCH11-t
2007-07-31,0.0,8.078309927618417e-05,QQQ,GARCH11-t
2007-08-01,0.0,7.954643375218391e-05,QQQ,GARCH11-t
2007-08-02,0.0,8.162494992802188e-05,QQQ,GARCH11-t
2007-08-03,0.0,7.960952551721616e-05,QQQ,GARCH11-t
2007-08-06,0.0,7.921076872757495e-05,QQQ,GARCH11-t
2007-08-07,0.0,7.953924815023567e-05,QQQ,GARCH11-t
2007-08-08,0.0,7.963333157453797e-05,QQQ,GARCH11-t
2007-08-09,0.0,7.891433344912669e-05,QQQ,GARCH11-t
2007-08-10,0.0,8.056232252272048e-05,QQQ,GARCH11-t
2007-08-13,0.0,9.048474121318738e-05,QQQ,GARCH11-t
2007-08-14,0.0,8.92121810372755e-05,QQQ,GARCH11-t
2007-08-15,0.0,9.14670253862405e-05,QQQ,GARCH11-t
2007-08-16,0.0,9.460756672893103e-05,QQQ,GARCH11-t
2007-08-17,0.0,0.00010320696843197117,QQQ,GARCH11-t
2007-08-20,0.0,9.955014167503021e-05,QQQ,GARCH11-t
2007-08-21,0.0,0.0001118557966071817,QQQ,GARCH11-t
2007-08-22,0.0,0.00010512188790584127,QQQ,GARCH11-t
2007-08-23,0.0,0.00011233183216254724,QQQ,GARCH11-t
2007-08-24,0.0,0.00010318665276743861,QQQ,GARCH11-t
2007-08-27,0.0,0.0001109157901500153,QQQ,GARCH11-t
2007-08-28,0.0,0.0001038425845501136,QQQ,GARCH11-t
2007-08-29,0.0,0.00012725117826250037,QQQ,GARCH11-t
