Date,pred,asset,model
2007-01-05,0.007686956440059886,QQQ,HAR-RV
2007-01-08,0.006405403794950392,QQQ,HAR-RV
2007-01-09,0.006744955875750381,QQQ,HAR-RV
2007-01-10,0.006604162954526522,QQQ,HAR-RV
2007-01-11,0.006106066210756898,QQQ,HAR-RV
2007-01-12,0.0052783870586728425,QQQ,HAR-RV
2007-01-16,0.006109096023324804,QQQ,HAR-RV
2007-01-17,0.006228112830962149,QQQ,HAR-RV
2007-01-18,0.006260348764239752,QQQ,HAR-RV
2007-01-19,0.005887741441471971,QQQ,HAR-RV
2007-01-22,0.0055666624158037924,QQQ,HAR-RV
2007-01-23,0.006669705336330826,QQQ,HAR-RV
2007-01-24,0.006050988416928384,QQQ,HAR-RV
2007-01-25,0.006058899272880728,QQQ,HAR-RV
2007-01-26,0.0053603136458754835,QQQ,HAR-RV
2007-01-29,0.006463032844968727,QQQ,HAR-RV
2007-01-30,0.0065226664065030655,QQQ,HAR-RV
2007-01-31,0.007088839129860881,QQQ,HAR-RV
2007-02-01,0.007156744053144361,QQQ,HAR-RV
2007-02-02,0.0074998073798889595,QQQ,HAR-RV
2007-02-05,0.008738374274483866,QQQ,HAR-RV
2007-02-06,0.008624415727277429,QQQ,HAR-RV
2007-02-07,0.008652861420829898,QQQ,HAR-RV
2007-02-08,0.007774725268932477,QQQ,HAR-RV
2007-02-09,0.007597587802228975,QQQ,HAR-RV
2007-02-12,0.008341748421771288,QQQ,HAR-RV
2007-02-13,0.007052507286478737,QQQ,HAR-RV
2007-02-14,0.006988479841189383,QQQ,HAR-RV
2007-02-15,0.006627825721213622,QQQ,HAR-RV
2007-02-16,0.005735109691713517,QQQ,HAR-RV
2007-02-20,0.00627812949422419,QQQ,HAR-RV
2007-02-21,0.0069172411316003705,QQQ,HAR-RV
2007-02-22,0.005828412559606838,QQQ,HAR-RV
2007-02-23,0.006194102470763612,QQQ,HAR-RV
2007-02-26,0.006717640456832261,QQQ,HAR-RV
