Date,pred,var_pred,asset,model
2007-01-05,0.0,2.481445611015201e-05,SPY,GARCH11-t
2007-01-08,0.0,2.6829982100170787e-05,SPY,GARCH11-t
2007-01-09,0.0,2.681494618925903e-05,SPY,GARCH11-t
2007-01-10,0.0,2.5673457693483228e-05,SPY,GARCH11-t
2007-01-11,0.0,2.4416482846021885e-05,SPY,GARCH11-t
2007-01-12,0.0,2.5188372801248564e-05,SPY,GARCH11-t
2007-01-16,0.0,2.7115854171654835e-05,SPY,GARCH11-t
2007-01-17,0.0,2.6172428738065855e-05,SPY,GARCH11-t
2007-01-18,0.0,2.5124033287423177e-05,SPY,GARCH11-t
2007-01-19,0.0,2.3170589923525597e-05,SPY,GARCH11-t
2007-01-22,0.0,2.3935796886537613e-05,SPY,GARCH11-t
2007-01-23,0.0,2.35053698011721e-05,SPY,GARCH11-t
2007-01-24,0.0,2.269414304985349e-05,SPY,GARCH11-t
2007-01-25,0.0,2.4743821848750197e-05,SPY,GARCH11-t
2007-01-26,0.0,3.1252578787357903e-05,SPY,GARCH11-t
2007-01-29,0.0,2.9870248102437795e-05,SPY,GARCH11-t
2007-01-30,0.0,2.824940411273906e-05,SPY,GARCH11-t
2007-01-31,0.0,2.7653852644928655e-05,SPY,GARCH11-t
2007-02-01,0.0,2.9624398057487847e-05,SPY,GARCH11-t
2007-02-02,0.0,3.0069002773071604e-05,SPY,GARCH11-t
2007-02-05,0.0,2.87654125776519e-05,SPY,GARCH11-t
2007-02-06,0.0,2.7635758872842538e-05,SPY,GARCH11-t
2007-02-07,0.0,2.6160963306726576e-05,SPY,GARCH11-t
2007-02-08,0.0,2.531301707261912e-05,SPY,GARCH11-t
2007-02-09,0.0,2.428113769522625e-05,SPY,GARCH11-t
2007-02-12,0.0,2.6081894759568154e-05,SPY,GARCH11-t
2007-02-13,0.0,2.5581110155487357e-05,SPY,GARCH11-t
2007-02-14,0.0,2.8128284513163462e-05,SPY,GARCH11-t
2007-02-15,0.0,2.9086019512104652e-05,SPY,GARCH11-t
2007-02-16,0.0,2.7753793896475337e-05,SPY,GARCH11-t
2007-02-20,0.0,2.6018025650242588e-05,SPY,GARCH11-t
2007-02-21,0.0,2.637031632862382e-05,SPY,GARCH11-t
2007-02-22,0.0,2.4524325352480394e-05,SPY,GARCH11-t
2007-02-23,0.0,2.2768573180171884e-05,SPY,GARCH11-t
2007-02-26,0.0,2.3568332685461857e-05,SPY,GARCH11-t
2007-02-27,0.0,2.2508136075915058e-05,SPY,GARCH11-t
2007-02-28,0.0,0.00011119200914197812,SPY,GARCH11-t
2007-03-01,0.0,0.00010424828628795101,SPY,GARCH11-t
2007-03-02,0.0,0.00011203021640036678,SPY,GARCH11-t
2007-03-05,0.0,9.237638648779027e-05,SPY,GARCH11-t
2007-03-06,0.0,8.764174495115637e-05,SPY,GARCH11-t
2007-03-07,0.0,0.00012507965563643457,SPY,GARCH11-t
2007-03-08,0.0,8.428692900268168e-05,SPY,GARCH11-t
2007-03-09,0.0,7.980904949546055e-05,SPY,GARCH11-t
2007-03-12,0.0,7.229688468963186e-05,SPY,GARCH11-t
2007-03-13,0.0,6.591448634486429e-05,SPY,GARCH11-t
2007-03-14,0.0,8.05153634364187e-05,SPY,GARCH11-t
2007-03-15,0.0,7.58947366783573e-05,SPY,GARCH11-t
2007-03-16,0.0,6.890663764806772e-05,SPY,GARCH11-t
2007-03-19,0.0,6.347573593250196e-05,SPY,GARCH11-t
2007-03-20,0.0,7.279529988164267e-05,SPY,GARCH11-t
2007-03-21,0.0,6.23065023433817e-05,SPY,GARCH11-t
2007-03-22,0.0,7.158756648815035e-05,SPY,GARCH11-t
2007-03-23,0.0,6.548552366559988e-05,SPY,GARCH11-t
2007-03-26,0.0,6.32677356973669e-05,SPY,GARCH11-t
2007-03-27,0.0,5.6078950336674224e-05,SPY,GARCH11-t
2007-03-28,0.0,5.264284313376637e-05,SPY,GARCH11-t
2007-03-29,0.0,5.2233208978698996e-05,SPY,GARCH11-t
2007-03-30,0.0,4.9058554112233254e-05,SPY,GARCH11-t
2007-04-02,0.0,4.628638822495347e-05,SPY,GARCH11-t
2007-04-03,0.0,4.4073982130133035e-05,SPY,GARCH11-t
2007-04-04,0.0,4.816699588109457e-05,SPY,GARCH11-t
2007-04-05,0.0,4.5722414566161856e-05,SPY,GARCH11-t
2007-04-09,0.0,4.3859383762739646e-05,SPY,GARCH11-t
2007-04-10,0.0,4.2054041343035834e-05,SPY,GARCH11-t
2007-04-11,0.0,4.0515658080301706e-05,SPY,GARCH11-t
2007-04-12,0.0,3.974199535492174e-05,SPY,GARCH11-t
2007-04-13,0.0,3.314636064704469e-05,SPY,GARCH11-t
2007-04-16,0.0,3.263495898082175e-05,SPY,GARCH11-t
2007-04-17,0.0,4.2601058015667134e-05,SPY,GARCH11-t
2007-04-18,0.0,4.126304653760724e-05,SPY,GARCH11-t
2007-04-19,0.0,3.484955929998531e-05,SPY,GARCH11-t
2007-04-20,0.0,3.7901140040158325e-05,SPY,GARCH11-t
2007-04-23,0.0,4.144519543437473e-05,SPY,GARCH11-t
2007-04-24,0.0,4.0597448280373553e-05,SPY,GARCH11-t
2007-04-25,0.0,3.462848935535256e-05,SPY,GARCH11-t
2007-04-26,0.0,4.066204052444866e-05,SPY,GARCH11-t
2007-04-27,0.0,4.063056379895e-05,SPY,GARCH11-t
2007-04-30,0.0,3.9223861848141065e-05,SPY,GARCH11-t
2007-05-01,0.0,4.158406443726415e-05,SPY,GARCH11-t
2007-05-02,0.0,3.68811906443849e-05,SPY,GARCH11-t
2007-05-03,0.0,4.0570694292460905e-05,SPY,GARCH11-t
2007-05-04,0.0,4.053081135793484e-05,SPY,GARCH11-t
2007-05-07,0.0,3.981509712771253e-05,SPY,GARCH11-t
2007-05-08,0.0,3.265410077147442e-05,SPY,GARCH11-t
2007-05-09,0.0,3.3268758037023906e-05,SPY,GARCH11-t
2007-05-10,0.0,3.2482023723368856e-05,SPY,GARCH11-t
2007-05-11,0.0,4.1555337169683386e-05,SPY,GARCH11-t
2007-05-14,0.0,4.380035420000919e-05,SPY,GARCH11-t
2007-05-15,0.0,3.7189544062270834e-05,SPY,GARCH11-t
2007-05-16,0.0,3.968707086749352e-05,SPY,GARCH11-t
2007-05-17,0.0,4.073047534518141e-05,SPY,GARCH11-t
2007-05-18,0.0,3.939902063473023e-05,SPY,GARCH11-t
2007-05-21,0.0,4.106356516091374e-05,SPY,GARCH11-t
2007-05-22,0.0,3.9312360352842515e-05,SPY,GARCH11-t
2007-05-23,0.0,3.356243008525082e-05,SPY,GARCH11-t
2007-05-24,0.0,3.638138269707148e-05,SPY,GARCH11-t
