Date,pred,asset,model
2007-01-05,0.0033417016879779527,SPY,HAR-RV
2007-01-08,0.003576558928131267,SPY,HAR-RV
2007-01-09,0.003849876034073698,SPY,HAR-RV
2007-01-10,0.003523946010218499,SPY,HAR-RV
2007-01-11,0.003451981093218191,SPY,HAR-RV
2007-01-12,0.00356199537815628,SPY,HAR-RV
2007-01-16,0.003545049889273808,SPY,HAR-RV
2007-01-17,0.003802953206237746,SPY,HAR-RV
2007-01-18,0.0037433120849929714,SPY,HAR-RV
2007-01-19,0.003702598030397157,SPY,HAR-RV
2007-01-22,0.0038498836343945956,SPY,HAR-RV
2007-01-23,0.003632021305850462,SPY,HAR-RV
2007-01-24,0.0039168588767594424,SPY,HAR-RV
2007-01-25,0.003943348115428903,SPY,HAR-RV
2007-01-26,0.004129821024051359,SPY,HAR-RV
2007-01-29,0.004301054297729958,SPY,HAR-RV
2007-01-30,0.003890278154437521,SPY,HAR-RV
2007-01-31,0.003798020218131532,SPY,HAR-RV
2007-02-01,0.003839834808405427,SPY,HAR-RV
2007-02-02,0.003964787577298038,SPY,HAR-RV
2007-02-05,0.004299967075056638,SPY,HAR-RV
2007-02-06,0.004013245094957315,SPY,HAR-RV
2007-02-07,0.003908056779130867,SPY,HAR-RV
2007-02-08,0.003988079056620389,SPY,HAR-RV
2007-02-09,0.003935779944361627,SPY,HAR-RV
2007-02-12,0.003996369743999083,SPY,HAR-RV
2007-02-13,0.0042608046287291555,SPY,HAR-RV
2007-02-14,0.004003171481155465,SPY,HAR-RV
2007-02-15,0.004102664671659099,SPY,HAR-RV
2007-02-16,0.0038117092181620144,SPY,HAR-RV
2007-02-20,0.0035478025265090413,SPY,HAR-RV
2007-02-21,0.0037547276484391733,SPY,HAR-RV
2007-02-22,0.003802896201039544,SPY,HAR-RV
2007-02-23,0.003951618847785252,SPY,HAR-RV
2007-02-26,0.004127052718070704,SPY,HAR-RV
2007-02-27,0.004176770099303531,SPY,HAR-RV
2007-02-28,0.004164260912216505,SPY,HAR-RV
2007-03-01,0.006107227634815291,SPY,HAR-RV
2007-03-02,0.003507480482289621,SPY,HAR-RV
2007-03-05,0.003864977082049017,SPY,HAR-RV
2007-03-06,0.0048812585938841245,SPY,HAR-RV
2007-03-07,0.006229786463987749,SPY,HAR-RV
2007-03-08,0.006258595818119795,SPY,HAR-RV
2007-03-09,0.005871338185157856,SPY,HAR-RV
2007-03-12,0.006179736645585984,SPY,HAR-RV
2007-03-13,0.005787422330083159,SPY,HAR-RV
2007-03-14,0.005974598028068268,SPY,HAR-RV
2007-03-15,0.007051305207182728,SPY,HAR-RV
2007-03-16,0.0066294843116048545,SPY,HAR-RV
2007-03-19,0.006319371711193329,SPY,HAR-RV
2007-03-20,0.006283010623149206,SPY,HAR-RV
2007-03-21,0.006772932543877717,SPY,HAR-RV
2007-03-22,0.006797222002282004,SPY,HAR-RV
2007-03-23,0.00736190257678079,SPY,HAR-RV
2007-03-26,0.006908702667230569,SPY,HAR-RV
2007-03-27,0.006781187721213938,SPY,HAR-RV
2007-03-28,0.006593724679556946,SPY,HAR-RV
2007-03-29,0.006594881545453467,SPY,HAR-RV
2007-03-30,0.006514304678648443,SPY,HAR-RV
2007-04-02,0.0053221399279324375,SPY,HAR-RV
2007-04-03,0.004981049428860805,SPY,HAR-RV
2007-04-04,0.0050843724409233276,SPY,HAR-RV
2007-04-05,0.0053694407152540535,SPY,HAR-RV
2007-04-09,0.004822065267532053,SPY,HAR-RV
2007-04-10,0.004579348105590102,SPY,HAR-RV
2007-04-11,0.004566939353273369,SPY,HAR-RV
2007-04-12,0.0044435888860031286,SPY,HAR-RV
2007-04-13,0.004376285555004626,SPY,HAR-RV
2007-04-16,0.004480493407690179,SPY,HAR-RV
2007-04-17,0.004279947074775278,SPY,HAR-RV
2007-04-18,0.004616502773630979,SPY,HAR-RV
2007-04-19,0.00442603031948248,SPY,HAR-RV
2007-04-20,0.004255985493920607,SPY,HAR-RV
2007-04-23,0.003926126410477585,SPY,HAR-RV
2007-04-24,0.004403667829261085,SPY,HAR-RV
2007-04-25,0.003802386165954295,SPY,HAR-RV
2007-04-26,0.003688603517499332,SPY,HAR-RV
2007-04-27,0.00417390654497171,SPY,HAR-RV
2007-04-30,0.003922717997654131,SPY,HAR-RV
2007-05-01,0.0038053922005213073,SPY,HAR-RV
2007-05-02,0.004055359399451932,SPY,HAR-RV
2007-05-03,0.003944149029160983,SPY,HAR-RV
2007-05-04,0.004162994153010205,SPY,HAR-RV
2007-05-07,0.0042374553229204,SPY,HAR-RV
2007-05-08,0.003993190031311258,SPY,HAR-RV
2007-05-09,0.003818143983541807,SPY,HAR-RV
2007-05-10,0.003838957657288018,SPY,HAR-RV
2007-05-11,0.0040085489847048504,SPY,HAR-RV
2007-05-14,0.004638296788357504,SPY,HAR-RV
2007-05-15,0.0045279071358112315,SPY,HAR-RV
2007-05-16,0.004150055059652132,SPY,HAR-RV
2007-05-17,0.004011983582969238,SPY,HAR-RV
2007-05-18,0.004211298252129894,SPY,HAR-RV
2007-05-21,0.004045639634885755,SPY,HAR-RV
2007-05-22,0.00436580483084539,SPY,HAR-RV
2007-05-23,0.004082138153669081,SPY,HAR-RV
2007-05-24,0.003930541228504955,SPY,HAR-RV
2007-05-25,0.003899292245107693,SPY,HAR-RV
2007-05-29,0.004332203452820024,SPY,HAR-RV
2007-05-30,0.004079388021649611,SPY,HAR-RV
2007-05-31,0.004124263025610558,SPY,HAR-RV
2007-06-01,0.004320955475306217,SPY,HAR-RV
2007-06-04,0.004064938200243735,SPY,HAR-RV
2007-06-05,0.0041820366369888515,SPY,HAR-RV
2007-06-06,0.0039029197388541033,SPY,HAR-RV
2007-06-07,0.004058048390093761,SPY,HAR-RV
2007-06-08,0.00464555653799204,SPY,HAR-RV
2007-06-11,0.005760141743787136,SPY,HAR-RV
2007-06-12,0.005364145029408833,SPY,HAR-RV
2007-06-13,0.004767153605013661,SPY,HAR-RV
2007-06-14,0.005943122105892632,SPY,HAR-RV
2007-06-15,0.0063662496812517825,SPY,HAR-RV
2007-06-18,0.0055750874466393655,SPY,HAR-RV
2007-06-19,0.00522512324607146,SPY,HAR-RV
2007-06-20,0.004701055489137439,SPY,HAR-RV
2007-06-21,0.00467523826083565,SPY,HAR-RV
2007-06-22,0.0052649525921440316,SPY,HAR-RV
2007-06-25,0.004673526926235004,SPY,HAR-RV
2007-06-26,0.005073035455325189,SPY,HAR-RV
2007-06-27,0.005176177338708812,SPY,HAR-RV
2007-06-28,0.006071385567573515,SPY,HAR-RV
2007-06-29,0.005986204475943707,SPY,HAR-RV
2007-07-02,0.005015983672298861,SPY,HAR-RV
2007-07-03,0.0047880702777470955,SPY,HAR-RV
2007-07-05,0.0053318982059871916,SPY,HAR-RV
2007-07-06,0.004729824595202755,SPY,HAR-RV
2007-07-09,0.004223286873401061,SPY,HAR-RV
2007-07-10,0.004515847076784563,SPY,HAR-RV
2007-07-11,0.0046282758678275,SPY,HAR-RV
2007-07-12,0.005414836266365382,SPY,HAR-RV
2007-07-13,0.0053502821525248795,SPY,HAR-RV
2007-07-16,0.006230421204380049,SPY,HAR-RV
2007-07-17,0.0054161379221227945,SPY,HAR-RV
2007-07-18,0.004904317138541471,SPY,HAR-RV
2007-07-19,0.004547190876788887,SPY,HAR-RV
2007-07-20,0.004478795782483325,SPY,HAR-RV
2007-07-23,0.004538794341053568,SPY,HAR-RV
2007-07-24,0.00508060628935725,SPY,HAR-RV
2007-07-25,0.004742997025434377,SPY,HAR-RV
2007-07-26,0.005808290033539294,SPY,HAR-RV
2007-07-27,0.005386889769053885,SPY,HAR-RV
2007-07-30,0.0076432423797013795,SPY,HAR-RV
2007-07-31,0.008421284414347113,SPY,HAR-RV
2007-08-01,0.008872443398278173,SPY,HAR-RV
2007-08-02,0.008166397867498428,SPY,HAR-RV
2007-08-03,0.007844311009981515,SPY,HAR-RV
2007-08-06,0.008225279982815888,SPY,HAR-RV
2007-08-07,0.010519335424153018,SPY,HAR-RV
2007-08-08,0.010233071435835135,SPY,HAR-RV
2007-08-09,0.010077896987515305,SPY,HAR-RV
2007-08-10,0.012410738519874912,SPY,HAR-RV
