Date,pred,var_pred,asset,model
2007-01-05,0.0,2.1900481713567622e-05,TLT,GARCH11-t
2007-01-08,0.0,2.180392656912402e-05,TLT,GARCH11-t
2007-01-09,0.0,2.1580104308142947e-05,TLT,GARCH11-t
2007-01-10,0.0,2.1421543044488877e-05,TLT,GARCH11-t
2007-01-11,0.0,2.162818001105248e-05,TLT,GARCH11-t
2007-01-12,0.0,2.1713143237460654e-05,TLT,GARCH11-t
2007-01-16,0.0,2.1759823652289435e-05,TLT,GARCH11-t
2007-01-17,0.0,2.107953119073859e-05,TLT,GARCH11-t
2007-01-18,0.0,2.128604233447694e-05,TLT,GARCH11-t
2007-01-19,0.0,2.207623260779401e-05,TLT,GARCH11-t
2007-01-22,0.0,2.0822849558378966e-05,TLT,GARCH11-t
2007-01-23,0.0,2.0765962017262464e-05,TLT,GARCH11-t
2007-01-24,0.0,2.1686241302373972e-05,TLT,GARCH11-t
2007-01-25,0.0,2.2473014296811957e-05,TLT,GARCH11-t
2007-01-26,0.0,2.193309077448648e-05,TLT,GARCH11-t
2007-01-29,0.0,2.140056794068995e-05,TLT,GARCH11-t
2007-01-30,0.0,2.1784988050765682e-05,TLT,GARCH11-t
2007-01-31,0.0,2.1812626980747506e-05,TLT,GARCH11-t
2007-02-01,0.0,2.170859930033104e-05,TLT,GARCH11-t
2007-02-02,0.0,2.140997763474301e-05,TLT,GARCH11-t
2007-02-05,0.0,2.118988395239887e-05,TLT,GARCH11-t
2007-02-06,0.0,2.109783476290583e-05,TLT,GARCH11-t
2007-02-07,0.0,2.126008651153334e-05,TLT,GARCH11-t
2007-02-08,0.0,2.1183173921767257e-05,TLT,GARCH11-t
2007-02-09,0.0,1.9657022073816833e-05,TLT,GARCH11-t
2007-02-12,0.0,2.1414867850563544e-05,TLT,GARCH11-t
2007-02-13,0.0,2.1123866520251664e-05,TLT,GARCH11-t
2007-02-14,0.0,2.0946896748286968e-05,TLT,GARCH11-t
2007-02-15,0.0,2.2107149818580268e-05,TLT,GARCH11-t
2007-02-16,0.0,2.1832299145116807e-05,TLT,GARCH11-t
2007-02-20,0.0,2.3083662093700523e-05,TLT,GARCH11-t
2007-02-21,0.0,2.056636006891999e-05,TLT,GARCH11-t
2007-02-22,0.0,2.107280042028338e-05,TLT,GARCH11-t
2007-02-23,0.0,2.1416300751626192e-05,TLT,GARCH11-t
2007-02-26,0.0,2.217584856989985e-05,TLT,GARCH11-t
2007-02-27,0.0,2.1626125820508928e-05,TLT,GARCH11-t
2007-02-28,0.0,2.974966341039001e-05,TLT,GARCH11-t
2007-03-01,0.0,1.9795636259652796e-05,TLT,GARCH11-t
2007-03-02,0.0,2.0686136445566307e-05,TLT,GARCH11-t
2007-03-05,0.0,2.2959744122602507e-05,TLT,GARCH11-t
2007-03-06,0.0,2.1833612878120906e-05,TLT,GARCH11-t
2007-03-07,0.0,2.167991322766394e-05,TLT,GARCH11-t
2007-03-08,0.0,2.1471777201932428e-05,TLT,GARCH11-t
2007-03-09,0.0,2.134656047159254e-05,TLT,GARCH11-t
2007-03-12,0.0,2.2075255479820223e-05,TLT,GARCH11-t
2007-03-13,0.0,2.2150608045881633e-05,TLT,GARCH11-t
2007-03-14,0.0,2.330831970873294e-05,TLT,GARCH11-t
2007-03-15,0.0,2.2599271194689743e-05,TLT,GARCH11-t
2007-03-16,0.0,2.2044007385729673e-05,TLT,GARCH11-t
2007-03-19,0.0,2.171470008364879e-05,TLT,GARCH11-t
2007-03-20,0.0,2.1391798417152964e-05,TLT,GARCH11-t
2007-03-21,0.0,2.130371410685273e-05,TLT,GARCH11-t
2007-03-22,0.0,2.126752874738506e-05,TLT,GARCH11-t
2007-03-23,0.0,2.1786801623006254e-05,TLT,GARCH11-t
2007-03-26,0.0,2.1810424390296607e-05,TLT,GARCH11-t
2007-03-27,0.0,2.149008804206706e-05,TLT,GARCH11-t
2007-03-28,0.0,2.1796145404078205e-05,TLT,GARCH11-t
2007-03-29,0.0,2.0475520193454433e-05,TLT,GARCH11-t
2007-03-30,0.0,2.085692494480699e-05,TLT,GARCH11-t
2007-04-02,0.0,2.078344712024405e-05,TLT,GARCH11-t
2007-04-03,0.0,2.0309724152488867e-05,TLT,GARCH11-t
2007-04-04,0.0,2.0281205545416067e-05,TLT,GARCH11-t
2007-04-05,0.0,1.991414241506812e-05,TLT,GARCH11-t
2007-04-09,0.0,1.9821022309580024e-05,TLT,GARCH11-t
2007-04-10,0.0,2.0497942161289212e-05,TLT,GARCH11-t
2007-04-11,0.0,2.0269904541292974e-05,TLT,GARCH11-t
