model,asset,MSE,MAE,RMSE,HedgingError,Sharpe(errors),Sortino(errors),Turnover,Sharpe(PnL),Sortino(PnL),N
itoformer,SPY,8.73670381796138e-05,0.006425019563382944,0.00934703365670702,0.009337496742593375,-0.04520792419077241,-0.07257194800382019,0.0043949345096047305,4.602445666937699,50.2902219818661,118272
itoformer,QQQ,0.00016465096553670863,0.009257822474487712,0.012831639238098484,0.012817431252973695,-0.04709784820925724,-0.07542059011723581,0.004847646452184137,4.781077342093025,43.755883694239806,118272
itoformer,IWM,0.0001568419809620559,0.009345612497581663,0.01252365685261521,0.012376137513793706,0.15485927888760725,0.2892905772285516,0.005360260667359667,4.936048829664379,34.22629890981367,118272
itoformer,TLT,0.0001250790321389244,0.008869432435865097,0.011183873753710044,0.01113709512174117,-0.0917504811390754,-0.14780188153193333,0.0018276326275109746,-0.6210493822227372,-0.853768331178156,118272
itoformer,IEF,3.517852875995598e-05,0.004635686861992999,0.005931149025269554,0.00553700382691402,-0.38397242162826595,-0.5433093552229926,0.0011456417332338803,-0.6562160558840258,-1.0060869410546516,118272
itoformer,LQD,3.7374307635036225e-05,0.004696447925945562,0.006113453004238785,0.005961646999597288,-0.22710337386464655,-0.3386633043379245,0.0004968365180934534,0.14005816824199327,0.20573074082622783,118272
itoformer,HYG,2.4059638540926648e-05,0.0034901193257319656,0.004905062541999505,0.0047446494829478415,0.26222428082907223,0.4943315513680632,0.0016896091740950345,3.494312918947995,15.341726055088355,118272
itoformer,GLD,8.883477135582806e-05,0.0071746131997027915,0.00942521996325964,0.009319925791725421,0.15074194770367114,0.2734640970732699,0.0005965101586639773,-0.08039962975743895,-0.1101428949628358,118272
itoformer,DBC,0.0001439214120858544,0.00877560687809146,0.011996725056691698,0.011977720157853164,-0.05635505811201954,-0.08441714292876458,0.0024970793666190608,2.249693150198373,4.790092593501601,118272
itoformer,VNQ,0.00012822403693669266,0.008492449201241762,0.01132360529763788,0.011088578272214288,-0.20697844559334935,-0.3138555728243053,0.004955134952917096,4.275636072537217,31.161456625053063,118272
itoformer,EFA,7.92125553175149e-05,0.006364509840276728,0.008900143556005987,0.008897610503188198,-0.023863345709553795,-0.03978937967675442,0.005116082023300611,4.468328459417595,40.34768062092706,118272
itoformer,EEM,0.00011306484070586315,0.00789560295624156,0.010633195225606608,0.01032799347104042,-0.2448981543267758,-0.37500700965726164,0.006181799047995266,4.448062841796265,26.4459072307667,118272
patchtst,SPY,0.00023939189640779742,0.009614723947395022,0.015472294477801197,0.015222334084216188,0.1819640280005177,0.31692407152696417,9.072761798483206e-05,-0.5711292653548192,-0.8481749693151739,924
patchtst,QQQ,0.0003152809702726196,0.010690836390984849,0.01775615302571533,0.017705168786330515,-0.07594433102767575,-0.11863148806609895,0.00017158597930660887,0.6674375808241845,1.0895777065191616,924
patchtst,IWM,0.0002684971485682058,0.011570791909016234,0.016385882599610123,0.016308006212623107,-0.09784425249947808,-0.1517935546780582,0.00011391840639219934,-0.004893183854587638,-0.007903963607200082,924
patchtst,TLT,9.85241087334259e-05,0.008065222355876624,0.009925931126772234,0.008720389018657227,0.5436906959480342,1.1956258009468619,5.834281310942578e-05,-0.0936117309348123,-0.17562059910851155,924
patchtst,IEF,1.7075308449432898e-05,0.0033892890798094166,0.004132228024859337,0.004118219289094792,0.08255221889570685,0.15023503809457583,3.5933803130338035e-05,0.25532624456531433,0.3944389303978135,924
patchtst,LQD,2.3827573302987356e-05,0.003606476421038961,0.004881349537063225,0.004881349497511938,0.00012729910630005246,0.00019201806689022626,2.2271133412784398e-05,1.0919366333702059,1.6939546647892598,924
patchtst,HYG,2.767967831299839e-05,0.004062668512532467,0.005261148003335241,0.004215089178473898,0.7469460715811057,1.6808825385856931,6.75321005417118e-05,-1.162126230833099,-1.7428864228698835,924
patchtst,GLD,0.00017799201429817451,0.010519225081233766,0.013341364783940754,0.012400994639579754,-0.39675012411499033,-0.5693834717374523,6.944601592632722e-05,1.614853843942872,3.0054408040984875,924
patchtst,DBC,0.00012330280247807785,0.007901517679274892,0.011104179504946679,0.010943450448290468,-0.17201799354574873,-0.2469251999871797,0.00010179234485373781,-0.1726123277717489,-0.2641276154985636,924
patchtst,VNQ,0.00014895505342809706,0.00838964780030858,0.012204714393548793,0.01220462912612438,-0.0037380493916147,-0.00571410301955503,0.00015031869212541062,0.19855667877316416,0.29716034536629177,924
