epoch,split,loss_total,loss_pred_mse,loss_hjm_drift,loss_ito,mse,mae,rmse,hjm_violation_rate,lr,grad_norm,wall_time_s
1,train,3.8636958730918884,0.06975257467751488,37.84086945073896,0.19712706680955558,0.06975257467751488,0.13490004529213084,0.16823666600574708,0.9720605981761011,0.0003,113.00750135347761,91.79969358444214
2,train,0.006029418353513205,0.0028382202104568995,0.0011200352254773266,0.06158389241017144,0.0028382202104568995,0.04237235112693803,0.05314569695499437,0.9298042490564543,0.0003,0.1803853407759091,97.49746584892273
3,train,0.004791991531764607,0.002236232894135575,0.0007538349389756933,0.04960750287462925,0.002236232894135575,0.03762412129034256,0.04723508700985333,0.9143049645012823,0.0003,0.19248161721846152,95.29293608665466
1,train,4.5752411528598875,0.07082232155291171,44.95171547264808,0.18494568084334506,0.07082232155291171,0.12791558432167974,0.16759919811939372,0.9677053515253395,0.0003,125.63683615727672,98.2212483882904
2,train,0.006087267859778688,0.0028615298817448063,0.0011708196664052405,0.06217312022786716,0.0028615298817448063,0.042417665815045094,0.053373101649099385,0.927822687502565,0.0003,0.2063994551527089,97.17482829093933
3,train,0.004635825323428686,0.0020696871877840623,0.0006232670250404947,0.05007622866281148,0.0020696871877840623,0.03615841853978305,0.04544000289049642,0.9056782907453077,0.0003,0.16083515589607172,96.6638514995575
4,train,0.003954281353748982,0.001685933428736211,0.0004066906534215628,0.04455357719341229,0.001685933428736211,0.03269902282747729,0.041001847399205996,0.8833303564581377,0.0003,0.15328168316647925,95.30671906471252
5,train,0.003499776784105805,0.0014075517317215945,0.0003160150191778767,0.04121247100932845,0.0014075517317215945,0.02992121432105015,0.037496657464010964,0.8658225669943053,0.0003,0.14671915397047997,95.53911185264587
6,train,0.0031511586709429733,0.0011882795109252992,0.0002512657364573458,0.038755051727438795,0.0011882795109252992,0.027472492757028545,0.034441240003396725,0.8493235275663179,0.0003,0.15368472951753387,95.96866273880005
7,train,0.0028625257833357017,0.0010220816846663967,0.00016689278081998807,0.03647509641174612,0.0010220816846663967,0.025391725823283195,0.031898022340289475,0.81750779624643,0.0003,0.15928872404941197,98.29738998413086
8,train,0.0024933339714058593,0.0007751785160508007,0.00010674408409174467,0.034149620938917685,0.0007751785160508007,0.022169520725207083,0.027799290476431107,0.7753023361337597,0.0003,0.13441760799494282,96.62678003311157
